Mou2008.015.1： 惟平山君，德配代嵩 承天【出】□，□佑秥蟬 興甘風雨，惠閏土田 □□壽考，五穀豐【成】 盜賊不起，□（主凡）□臧 出入吉利，咸受神光
Mou2008.026.1： 鑠王師兮徵荒裔 勦凶虐兮（雀戈）海外 夐其邈兮亘地界 封神丘兮建隆嵑 熙帝載兮振萬世
Mou2008.029.1： 哀賢明而不遂兮  嗟痛淑雅之夭年 去日日而下降兮 榮名絕不信 精浮游而（扌量）（扌主土）兮 魂鑣（云 夕音）而東西  恐精靈而迷惑兮  歌歸來而自還 掾兮歸來無妄行 卒遭毒氣遏匈殃
Mou2008.030.1.1： □□□□，□□□a(et)結。
Mou2008.100.1.17： 能悊能惠，剋亮天k(oŋ)功。
Mou2008.100.1.18： 入統□□，赳赳光i(ɑŋ)光。
Mou2008.100.1.19： 法言稽古，道而後i(ɑŋ)行。
Mou2008.100.1.20： 競競業業，素絲《羔i(ɑŋ)羊》。
Mou2008.100.1.21： 誾誾侃侃，顒顒昂i(ɑŋ)昂。
Mou2008.100.1.22： 蹈規履榘，金玉其j(iɑŋ)相。
Mou2008.100.1.23： 謇謇王臣，羣公憲i(ɑŋ)章。
Mou2008.100.1.24： 樂旨君子，□□无j(iɑŋ)彊。
Mou2008.100.1.25： 銘勒金石，□□□□。
Mou2008.100.1.26： □問□□，萬世是l(uan)傳。
Mou2008.101.1.1： 其辭曰：玄乾鍾德，于我楊a(un)君。
Mou2008.101.1.2： 其德伊何，如玉如b(uaŋ)瑩。
Mou2008.101.1.3： 烝烝其孝，恂恂其c(in)仁。
Mou2008.101.1.4： 躬尚節儉，□□□□。
Mou2008.101.1.5： □□□□，□□□a(un)文。
Mou2008.101.1.6： 綱紀典謩，□□□□。
Mou2008.102.1.1： 昔在仲尼，汁光之精，大帝所挺，顔母毓a(eŋ)靈。
Mou2008.102.1.2： 承敝遭衰，黑不代倉，□㳅應聘，嘆鳳不b(in)臻。
Mou2008.102.1.3： 自衛反魯，養徒三c(ein)千。
Mou2008.102.1.4： 獲麟趣作，端門見徵，血書著紀，黃玉𩐿d(iŋ)應。
Mou2008.102.1.5： 主爲漢制，道審可e(aŋ)行。
Mou2008.102.1.6： 乃作《春秋》，復演《孝a(eŋ)經》。
Mou2008.102.1.7： 刪定六藝，象與天f(ɑm)談。
Mou2008.102.1.8： 鉤《河》擿《雒》，𨛀揆未h(an)然。
Mou2008.102.1.9： 魏魏蕩蕩，與乾比i(uŋ)崇。
Mou2008.104.1.1： 其辭曰：赫赫休哉，故神君a(uɑŋ)皇。
Mou2008.104.1.2： 又有鴻稱，升遐見b(iə)紀。
Mou2008.104.1.3： 子孫仚予，慕仰靡c(ə)恃。
Mou2008.104.1.4： 故刊茲石，𨖫達情b(iə)理。
Mou2008.104.1.5： 願時仿佛，賜其嘉d(ɨə)祉。
Mou2008.106.1.1： 惟漢建寧，號政三年，三月戊午，甲寅中旬，痛哉可哀，許阿瞿，年甫五歲，去離世a(uaŋ)榮。
Mou2008.106.1.2： 遂就長b(a)夜。
Mou2008.106.1.3： 不見日c(eŋ)星。
Mou2008.106.1.4： 神靈獨處，下歸窈c(eŋ)冥。
Mou2008.106.1.5： 永與家絕，豈復望d(an)顔。
Mou2008.106.1.6： 謁見先祖，念子營e(ueŋ)營。
Mou2008.106.1.7： 三增仗人，皆往弔f(in)親。
Mou2008.106.1.8： 瞿不識之，啼泣東h(en)西。
Mou2008.106.1.9： 久乃隨逐，當時復i(ian)遷。
Mou2008.106.1.10： 父之與母，感□□□。
Mou2008.106.1.11： □王五月，不□晚j(ɑm)甘。
Mou2008.106.1.12： 贏劣瘦□，投財連i(ian)篇。
Mou2008.106.1.13： 冀子長哉，□□□□。
Mou2008.106.1.14： □□□此，□□土f(in)塵。
Mou2008.106.1.15： 立起□埽，以快往f(in)人。
Mou2008.105.1.1： 厥辭曰：惟斯柳君，天𢢾鯁□。
Mou2008.105.1.2： 𥫄祖□風，行無遺a(iɑt)闕。
Mou2008.105.1.3： 授政股肱，諫爭匡b(ɨt)弼。
Mou2008.105.1.4： 威外梱，属城震c(it)栗。
Mou2008.105.1.5： 宰守伯煩，垂名所d(ip)立。
Mou2008.105.1.6： 表貢王庭，望極爵e(uə)位。
Mou2008.105.1.7： 何辜穹倉，官寵不f(ui)遂。
Mou2008.105.1.8： 予惟三六，庶昔延f(ui)季。
Mou2008.105.1.9： 建豎斯碑，傳于萬h(a)世。
Mou2008.105.1.10： 子孫繁昌，永不i(iat)滅。
Mou2008.105.1.11： 嗚呼𢜺哉，嗚呼哀j(ə)哉！。
Mou2008.105.1.12： 曰：山陵玄室，□斯k(ɔŋ)邦兮。
Mou2008.105.1.13： 先人質，尚約l(ieŋ)清兮。
Mou2008.105.1.14： 汶飭不雕，隩m(ɑŋ)臧兮。
Mou2008.105.1.15： 季子信舊，帶掛n(ioŋ)松兮。
Mou2008.105.1.16： 僑俗追歿，激□m(ɑŋ)揚兮。
Mou2008.105.1.17： 亡而像存，樂o(ai)嘉兮。
Mou2008.105.1.18： 宗子于集，其l(ieŋ)鳴兮。
Mou2008.105.1.19： 四祀烝甞，不廢p(iu)㐬兮。
Mou2008.107.1.1： 其辭曰：於穆皇祖，天挺應a(iə)期。
Mou2008.107.1.2： 佐時理物，紹縱先b(uɨ)軌。
Mou2008.107.1.3： 積德勤約，燕于孫a(iə)子。
Mou2008.107.1.4： 君之群，並時繁c(ɨə)祉。
Mou2008.107.1.5： 明明君德，令問不d(ə)已。
Mou2008.107.1.6： 高山景行，慕前賢e(iat)𠛱。
Mou2008.107.1.7： 庶同如蘭，意願未d(ə)止。
Mou2008.107.1.8： 中遭冤夭，不終其a(iə)紀。
Mou2008.107.1.9： 夙世霣祚，早喪懿f(ou)寶。
Mou2008.107.1.10： 抱器幽潛，永歸蒿a(iə)里。
Mou2008.107.1.11： 痛矣如之，行路感h(oŋ)動。
Mou2008.107.1.12： 黨魂有靈，垂後不i(u)㱙。
Mou2008.108.1.1： 乃刊斯石，曰：赫赫明后，柔嘉惟則，克長克君，牧守三a(uək)國。
Mou2008.108.1.2： 三國清平，詠歌懿b(ək)德。
Mou2008.108.1.3： 瑞降豐稔，民以貨c(ik)稙。
Mou2008.108.1.4： 威恩竝隆，遠人賓d(uk)服。
Mou2008.108.1.5： 鐉山浚瀆，路以安c(ik)直。
Mou2008.108.1.6： 繼禹之迹，亦世賴d(uk)福。
Mou2008.109.1.1： 其辭曰：穆穆我君，大聖之a(u)胄。
Mou2008.109.1.2： 惇懿允元，叡其玄a(u)秀。
Mou2008.109.1.3： 惟嶽降精，誕生忠b(iaŋ)良。
Mou2008.109.1.4： 奉應郡貢，亮彼我□。
Mou2008.109.1.5： 克明王道，辯物居c(uɑŋ)方。
Mou2008.109.1.6： 周□□□，□也d(en)名。
Mou2008.109.1.7： 朝無秕政，直哉惟e(ieŋ)清。
Mou2008.109.1.8： 出統華夏，化以典f(eŋ)成。
Mou2008.109.1.9： □猾殄迸，賢倚□f(eŋ)庭。
Mou2008.109.1.10： 帝重乃勛，自□□f(eŋ)征。
Mou2008.109.1.11： 所臨如神，□□□□。
Mou2008.109.1.12： □□之翰，先民是e(ieŋ)程。
Mou2008.109.1.13： 宜乎三事，金鉉利f(eŋ)貞。
Mou2008.109.1.14： 而絜《白駒》，俾世憤h(ik)惻。
Mou2008.109.1.15： 當享眉耉，莫匪爾h(ik)極。
Mou2008.109.1.16： 大□□□，邈矣不i(iə)意。
Mou2008.109.1.17： 于嗟悲兮，□□□h(ik)息。
Mou2008.109.1.18： 庶幾，復焉所h(ik)力。
Mou2008.109.1.19： 咨乎不朽，沒而德j(ən!)存。
Mou2008.109.1.20： 伊尹之休，格于皇d(en)天。
Mou2008.109.1.21： 惟我君績，表于丹f(eŋ)青。
Mou2008.109.1.22： 永永無沂，與日月f(eŋ)竝。
Mou2008.109.1.23： 于嗟□□，于以慰f(eŋ)靈。
Mou2008.110.1.1： 其辭曰：□□□□，□德□a(uŋ)隆。
Mou2008.110.1.2： 擅名舊燿，如雲如b(ioŋ)龍。
Mou2008.110.1.3： □□□□，□□□□。
Mou2008.110.1.4： □磐石□，逢此百c(uoŋ)凶。
Mou2008.110.1.5： 仁風既敷，□義□□。
Mou2008.110.1.6： 識□□□，刊□□b(ioŋ)頌。
Mou2008.110.1.7： 此□□與，□□□□。
Mou2008.110.1.8： □□□□，以表□□。
Mou2008.111.1.1： 乃作頌曰：□□□□，降茲惠a(un)君。
Mou2008.111.1.2： 克明俊德，允武允a(un)文。
Mou2008.111.1.3： 躬儉尚約，化流若b(in)神。
Mou2008.111.1.4： 氓如□，□□平c(uin)均。
Mou2008.111.1.5： 精通晧穹，三納苻b(in)銀。
Mou2008.111.1.6： 所歴垂勲，香風有b(in)隣。
Mou2008.111.1.7： 仍致瑞應，豐稔□□，□□□樂，行人夷b(in)欣。
Mou2008.111.1.8： 慕君靡已，乃詠新詩：□□□□兮，川兌之d(ɛn)間。
Mou2008.111.1.9： 高山崔巍兮，水流蕩e(ɑŋ)蕩。
Mou2008.111.1.10： 地既塉确兮，與寇爲b(in)隣。
Mou2008.111.1.11： □□□□□，□以析a(un)分。
Mou2008.111.1.12： 或失緒業兮，至于困b(in)貧。
Mou2008.111.1.13： 危危累卵兮，聖朝閔f(en)憐。
Mou2008.111.1.14： 髦艾究□兮，幼□□□，□□救傾兮，󷳾育□h(ui)遺。
Mou2008.111.1.15： 劬勞日稷兮，惟惠勤b(in)勤。
Mou2008.111.1.16： 黃邵朱龔兮，蓋不□□，□□充贏兮，百姓歡b(in)欣。
Mou2008.111.1.17： 僉曰太平兮，文翁復i(ən!)存。
Mou2008.113.1.1： 其辭曰：於赫慶都，德𢑃a(ɑ)大兮。
Mou2008.113.1.2： 承神精燿，統赤b(a)裔兮。
Mou2008.113.1.3： 爰生聖堯，名盖b(a)世兮。
Mou2008.113.1.4： 上受符命，𨒭帝b(a)制兮。
Mou2008.113.1.5： 廣彼之恩，流荒c(uɑ)外兮。
Mou2008.113.1.6： 歷紀千，垂遺d(ə)愛兮。
Mou2008.113.1.7： 陵廟復崇，享大e(ia)祭兮。
Mou2008.113.1.8： 上来多怙，降福a(ɑ)沛兮。
Mou2008.113.1.9： 萬國禧寍，孰不a(ɑ)賴兮。
Mou2008.113.1.10： 光宣美勛，永未e(ia)𢅷兮。
Mou2008.113.1.11： 垂視罔極，億萬e(ia)嵗兮。
Mou2008.114.1.1： 其辭曰：天降雄彥，資才卓a(u)茂。
Mou2008.114.1.2： 仰高鑽堅，允文允b(uɑ)武。
Mou2008.114.1.3： 內幹三署，外□師c(iɑ)旅。
Mou2008.114.1.4： □勒屯守，奮威□b(uɑ)武。
Mou2008.114.1.5： 旌旗絳天，雷震電c(iɑ)舉。
Mou2008.114.1.6： 敷燿赫然，𨹧惟哮d(ɑ)虎。
Mou2008.114.1.7： 當遂股肱，□之元b(uɑ)輔。
Mou2008.114.1.8： 天何不弔，降此□a(u)咎。
Mou2008.114.1.9： 𤹯乎我君，仁如不a(u)壽。
Mou2008.114.1.10： 爵不副德，位不稱e(oŋ)功。
Mou2008.114.1.11： 咸褱傷愴，遠近哀e(oŋ)同。
Mou2008.114.1.12： 身沒□□，萬世諷f(ioŋ)誦。
Mou2008.116.1.1： 讃曰：皇靈炳，郢令a(ieŋ)名矣。
Mou2008.116.1.2： 作民父母，化洽a(ieŋ)平矣。
Mou2008.116.1.3： 百工維時，品流b(eŋ)刑矣。
Mou2008.116.1.4： 善勸惡懼，物咸b(eŋ)寧矣。
Mou2008.116.1.5： 三考絀勅，陟幽c(iaŋ)明矣。
Mou2008.116.1.6： 振處實，畼b(eŋ)聲矣。
Mou2008.116.1.7： 重曰：皇靈禀氣，卓有d(uən)純兮。
Mou2008.116.1.8： 惟汶降神，挺斯e(un)君兮。
Mou2008.116.1.9： 未升卿尹，中失f(en)年兮。
Mou2008.116.1.10： 流名後載，久而h(uaŋ)榮兮。
Mou2008.116.1.11： 勒銘金石，表績e(un)勳兮。
Mou2008.116.1.12： 冀勉來嗣，示後d(uən)昆兮。
Mou2008.118.1.1： 其銘曰：巗巗山岳，礧落彰a(ɔk)䡈。
Mou2008.118.1.2： 棠棠忠惠，令德孔b(ɑk)㜰。
Mou2008.118.1.3： 命□時生，雅𪪺b(ɑk)綽。
Mou2008.118.1.4： 允彣允武，厥姿烈a(ɔk)逴。
Mou2008.118.1.5： 內懷温潤，撮強c(iɑk)虐。
Mou2008.118.1.6： 督司京師，𥡻然清a(ɔk)邈。
Mou2008.118.1.7： 當□緄職，爲國之d(ak)榷。
Mou2008.118.1.8： 匪究南山，遐邇忉□。
Mou2008.118.1.9： 凡百君子，欽諡嘉a(ɔk)樂。
Mou2008.118.1.10： 永傳齡，㬇矣旳e(ek)旳。
Mou2008.120.1.1： 其辭曰：穆穆楊公，命世而a(ɛŋ)生。
Mou2008.120.1.2： 乃台吐燿，乃嶽降b(ieŋ)精。
Mou2008.120.1.3： 明明天子，實公是c(iɑŋ)匡。
Mou2008.120.1.4： 冥冥六合，實公是d(ɑŋ)光。
Mou2008.120.1.5： 謇謇其直，皦皦其b(ieŋ)清。
Mou2008.120.1.6： 懿矣盛德，萬世垂e(uaŋ)榮。
Mou2008.120.1.7： 勒勳金石，日月同f(ueŋ)炯。
Mou2008.121.1.1： 其詞曰：皇矣先生，褢悳惟a(iaŋ)明。
Mou2008.121.1.2： 優於《春秋》，玄嚜有b(eŋ)成。
Mou2008.121.1.3： 知賤爲貴，與世無c(ɛŋ)爭。
Mou2008.121.1.4： 𢕌𢓡衡門，禮義滋d(un)醇。
Mou2008.121.1.5： 窮下不苟，知我者e(an)天。
Mou2008.121.1.6： 身歿聲鬯，千載作f(in)珍。
Mou2008.121.1.7： 緜之日月，與金石h(ən!)存。
Mou2008.122.1.1： 其辭曰：泰華惟岳，神曜吐a(ieŋ)精。
Mou2008.122.1.2： 育茲令德，既喆且b(iaŋ)明。
Mou2008.122.1.3： 寔謂耿君，天胙顯c(uaŋ)榮。
Mou2008.122.1.4： 司牧莅政，布化惟d(eŋ)成。
Mou2008.122.1.5： 柔嘉惟則，穆如風a(ieŋ)清。
Mou2008.122.1.6： 勤卹民隱，拯阨捄a(ieŋ)傾。
Mou2008.122.1.7： 匪皇啓處，東撫西d(eŋ)征。
Mou2008.122.1.8： 赤子遭慈，以活以e(ɛŋ)生。
Mou2008.122.1.9： 山靈挺寶，匈灾乃a(ieŋ)平。
Mou2008.122.1.10： 愷悌父母，民賴以d(eŋ)寧。
Mou2008.122.1.11： 毛遠明《漢魏六朝碑刻校注》第二f(ɛk)冊。
Mou2008.124.1.1： 辭曰：弈弈靈社，式爲後a(ɑ)土。
Mou2008.124.1.2： 平我九州，育我百b(ok)穀。
Mou2008.124.1.3： 禽獸遯跡，羣黎安a(ɑ)處。
Mou2008.124.1.4： 先民報功，建立兆c(uək)域。
Mou2008.124.1.5： 降及於今，纉戎前d(iɑ)緒。
Mou2008.124.1.6： 率由舊章，百廢俱d(iɑ)舉。
Mou2008.124.1.7： 營工既定，薦其時e(uk)熟。
Mou2008.124.1.8： 時熟維何，或剝或f(ɨɑŋ)亨。
Mou2008.124.1.9： 燔炙芬芬，犧牲粢h(eŋ)盛。
Mou2008.124.1.10： 樂俱入奏，舞以象i(oŋ)功。
Mou2008.124.1.11： 神之格斯，亨我香h(eŋ)馨。
Mou2008.124.1.12： 降其多福，國家和j(ieŋ)平。
Mou2008.124.1.13： 灾害不侵，五穀熟h(eŋ)成。
Mou2008.124.1.14： 歲其有年，民以安h(eŋ)寧。
Mou2008.127.1.1： 敘曰：於惟我君，明允廣淵，學兼游夏，德配臧a(un)文。
Mou2008.127.1.2： 歿而不朽，實有立b(iɑn)言。
Mou2008.127.1.3： 其言惟何，□□□□。
Mou2008.128.1.1： 於鑠明德，于我尹a(un)君。
Mou2008.128.1.2： 龜銀之胄，弈世載a(un)勛。
Mou2008.128.1.3： 綱紀本朝，優劣殊a(un)分。
Mou2008.128.1.4： 守攝百里，遺愛在b(in)民。
Mou2008.128.1.5： 佐翼牧伯，諸夏肅b(in)震。
Mou2008.128.1.6： 當漸鴻羽，爲漢輔b(in)臣。
Mou2008.128.1.7： 位不福德，壽不隨b(in)仁。
Mou2008.128.1.8： 景命不永，早即幽c(uən)昏。
Mou2008.128.1.9： 名光来世，萬祀不d(ɨn)泯。
Mou2008.131.1.1： 其辭曰：猗余烈考，秉夷塞a(uen)淵。
Mou2008.131.1.2： 遭家不造，艱難之b(un)運。
Mou2008.131.1.3： 自東徂西，再離隘c(in)勤。
Mou2008.131.1.4： 窮逼不憫，淑慎其c(in)身。
Mou2008.131.1.5： 斿居放言，在約思d(uən)純。
Mou2008.131.1.6： 研機墳素，在國必b(un)聞。
Mou2008.131.1.7： 辭榮抗介，追迹前b(un)勳。
Mou2008.131.1.8： 立德流范，作式後d(uən)昆。
Mou2008.133.1.1： 這段沒有“詞曰”，但看着像韻a(un)文。
Mou2008.133.1.2： □□分氣，建立乾b(uən)坤。
Mou2008.133.1.3： 乾爲物父，坤爲物母，運生六子，八卦爲c(o)主。
Mou2008.133.1.4： 艮土爲山，□造風d(uɑ)雨。
Mou2008.133.1.5： 天有九部，地有八c(o)柱。
Mou2008.133.1.6： 天地通精，神明列e(iɑ)序。
Mou2008.133.1.7： 州有九山，丘曰成f(ɑ)土。
Mou2008.133.1.8： 北嶽之山，連井陘f(ɑ)阻。
Mou2008.133.1.9： 上爲祈首，含□陰h(ou)寶。
Mou2008.133.1.10： 南號三公，厥體嵩厚，峻極于天，鼎足而□。
Mou2008.133.1.11： 二郡宗祀，□奉□i(in)神。
Mou2008.133.1.12： 明公嘉佑，□無形j(ɑu)兆。
Mou2008.133.1.13： 觸石出雲，不崇而d(uɑ)雨。
Mou2008.133.1.14： 除民氛厲，莫不□□。
Mou2008.133.1.15： 德配五岳，王公所e(iɑ)緒。
Mou2008.133.1.16： 四時珪璧，月醮酒d(uɑ)脯。
Mou2008.133.1.17： 明公降靈，惟德□d(uɑ)輔。
Mou2008.133.1.18： 士䆠得志，列爲羣c(o)后。
Mou2008.133.1.19： 或在王庭，輔翼聖c(o)主。
Mou2008.133.1.20： 颺雨時降，和其寒f(ɑ)暑。
Mou2008.133.1.21： 年豐歲稔，介我稷f(ɑ)黍。
Mou2008.133.1.22： 倉府既盈，以穀士f(ɑ)女。
Mou2008.133.1.23： 髟儁得進，陳其鼎f(ɑ)俎。
Mou2008.133.1.24： 黃龍白虎，伏在山f(ɑ)所。
Mou2008.133.1.25： 禽獸碩大，億兩爲c(o)耦。
Mou2008.133.1.26： 草木畼茂，巨仞不c(o)數。
Mou2008.133.1.27： 而民知禁，順時而k(io)取。
Mou2008.133.1.28： 皆受德化，非性能l(a)者。
Mou2008.133.1.29： 賴明公垂恩罔極，保我國君，羣犂百姓，永受元m(ən)恩。
Mou2008.133.1.30： 乃作頌曰：儼儼明公，民所n(am)瞻兮。
Mou2008.133.1.31： 山谷窈窕，石巖n(am)巖兮。
Mou2008.133.1.32： 高倉□□，候羣i(in)神兮。
Mou2008.133.1.33： 興雲致雨，除民o(uan)患兮。
Mou2008.133.1.34： 長吏肅恭，得懽p(im)心兮。
Mou2008.133.1.35： 四時奉祀，黍稷i(in)陳兮。
Mou2008.133.1.36： 犧用握尺，□具□兮。
Mou2008.133.1.37： 百姓家給，國富q(ɛn)殷兮。
Mou2008.133.1.38： 仁愛下下，民附i(in)親兮。
Mou2008.133.1.39： 遐邇携負，来若a(un)雲兮。
Mou2008.133.1.40： 或有薪采，投輻r(ɑn)檀兮。
Mou2008.133.1.41： 或有□鬼，阻出□兮。
Mou2008.133.1.42： 或有□□，□□a(un)耘兮。
Mou2008.133.1.43： 或有隱遁，辟語s(iɑn)言兮。
Mou2008.133.1.44： 或有恬惔，養晧t(an)然兮。
Mou2008.133.1.45： 或有呼吸，求長u(ən!)存兮。
Mou2008.133.1.46： 跂行喙息，皆□m(ən)恩兮。
Mou2008.133.1.47： □佑樊瑋，出谷v(ian)遷兮。
Mou2008.133.1.48： 封侯食邑，傳子b(uən)孫兮。
Mou2008.133.1.49： 刻石紀德，示後b(uən)昆兮。
Mou2008.133.1.50： 永永不幤，億載w(en)年兮。
Mou2008.135.1.1： 乃作敘曰：翼翼聖慈，恵我黎a(iŋ)蒸。
Mou2008.135.1.2： 貽我潘君，平茲溧b(ɑŋ)陽。
Mou2008.135.1.3： 彬彣赳武，扶弱抑c(iɑŋ)彊。
Mou2008.135.1.4： □刈骾雄，流惡顯d(uŋ)忠。
Mou2008.135.1.5： 咨疑元老，師臤作e(əŋ)朋。
Mou2008.135.1.6： 脩學童冠，琢質繡b(ɑŋ)章。
Mou2008.135.1.7： 寔天生德，有漢將a(iŋ)興。
Mou2008.135.1.8： 尚旦在昔，我君存f(im)今。
Mou2008.135.1.9： 即此龜艾，遂尹三c(iɑŋ)梁。
Mou2008.135.1.10： 永世支百，民人所b(ɑŋ)彰。
Mou2008.135.1.11： 子子孫孫，卑尒熾b(ɑŋ)昌。
Mou2008.136.1.1： 於戯使君，既膺渘德，貢躡帝a(uɑ)宇。
Mou2008.136.1.2： 入叅文昌，出化西b(ɑ)土。
Mou2008.136.1.3： 仁義充衍，澤洽□□。
Mou2008.136.1.4： （下闕）德，世記其c(uɨ)軌。
Mou2008.136.1.5： 辭疾輕居，棄榮潛b(ɑ)處。
Mou2008.136.1.6： 不卒苻宿，究是台a(uɑ)輔。
Mou2008.136.1.7： 三方失□，不□黯（下闕）徂落，不留舜a(uɑ)禹。
Mou2008.136.1.8： 二書之應，臻于己d(u)丑。
Mou2008.136.1.9： 辰五盈虧，猶有代e(iɑ)序。
Mou2008.136.1.10： □茲后土，光f(au)燿（下闕）。
Mou2008.137.1.1： 其辭曰：聲芳烈，作王a(in)臣。
Mou2008.137.1.2： 運天樞，釐三辰，擿烖a(in)吝。
Mou2008.137.1.3： □□b(ɑŋ)壯。
Mou2008.137.1.4： 道欽c(iaŋ)明。
Mou2008.137.1.5： 將天飛，翼紫宮，壽不d(uaŋ)永。
Mou2008.137.1.6： 喪菁光，形□e(ɨm)襟。
Mou2008.137.1.7： 書洪勳，昭萬f(eŋ)軨。
Mou2008.138.1.1： 其辭曰：巖巖白石，峻極太a(ieŋ)清。
Mou2008.138.1.2： 晧晧素質，因體爲a(ieŋ)名。
Mou2008.138.1.3： 惟山降神，髦士挺b(ɛŋ)生。
Mou2008.138.1.4： 濟濟俊乂，朝野充c(eŋ)盈。
Mou2008.138.1.5： 灾害不起，五穀熟c(eŋ)成。
Mou2008.138.1.6： 乃依無極，聖朝見c(eŋ)聽。
Mou2008.138.1.7： 遂興靈宮，于山之d(ɑŋ)陽。
Mou2008.138.1.8： 營宇之制，是度是e(iɑŋ)量。
Mou2008.138.1.9： 卜云其吉，終然允d(ɑŋ)臧。
Mou2008.138.1.10： 匪奢匪儉，率由舊d(ɑŋ)章。
Mou2008.138.1.11： 華殿清閑，肅雍顯e(iɑŋ)相。
Mou2008.138.1.12： 玄圖靈像，穆穆皇f(uɑŋ)皇。
Mou2008.138.1.13： 四時禋祀，不愆不f(uɑŋ)忘。
Mou2008.138.1.14： 擇其令辰，進其馨香，犧牲玉帛，黍稷稻e(iɑŋ)粮。
Mou2008.138.1.15： 神降嘉祉，萬壽無h(ɨɑŋ)畺。
Mou2008.138.1.16： 子子孫孫，永永番d(ɑŋ)昌。
Mou2008.139.1.1： 其辭曰：懿明后，德義a(ɑŋ)章。
Mou2008.139.1.2： 貢王庭，征鬼b(uɑŋ)方。
Mou2008.139.1.3： 威布烈，安殊a(ɑŋ)巟。
Mou2008.139.1.4： 還師旅，臨槐c(iə)里。
Mou2008.139.1.5： 感孔懷，赴喪c(iə)紀。
Mou2008.139.1.6： 嗟逆賊，燔城c(iə)市。
Mou2008.139.1.7： 特受命，理殘d(ɨə)圮。
Mou2008.139.1.8： 芟不臣，寧黔e(u)首。
Mou2008.139.1.9： 繕官寺，開南f(ən)門。
Mou2008.139.1.10： 闕嵯峨，望崋h(an)山。
Mou2008.139.1.11： 鄉明治，恵沾i(ɔk)渥。
Mou2008.139.1.12： 吏樂政，民給j(iok)足。
Mou2008.139.1.13： 君高升，極鼎j(iok)足。
Mou2008.140.1.1： 於穆我君，既敦既a(uən)純。
Mou2008.140.1.2： 雪白之性，孝友之b(in)仁。
Mou2008.140.1.3： 紀行求本，蘭生有芬，克岐有兆，綏御有c(un)勛。
Mou2008.140.1.4： 利器不覿，魚不出d(uen)淵。
Mou2008.140.1.5： 國之良幹，垂愛在b(in)民。
Mou2008.140.1.6： 𢅷沛棠樹，溫溫恭b(in)人。
Mou2008.140.1.7： 乾道不繆，唯淑是b(in)親。
Mou2008.140.1.8： 既多受祉，永享南e(an)山。
Mou2008.140.1.9： 干祿无疆，子子孫a(uən)孫。
Mou2008.141.1.1： 其辭曰：堂堂恵君，明□□a(eŋ)聲。
Mou2008.141.1.2： □□□□，□□□□。
Mou2008.141.1.3： 帝□□□，□君我a(eŋ)城。
Mou2008.141.1.4： 討賊□□，如雷如a(eŋ)霆。
Mou2008.141.1.5： 既克有定，我心則a(eŋ)寧。
Mou2008.141.1.6： 民□賴祉，□□□□。
Mou2008.141.1.7： □□跡□，□□□□。
Mou2008.141.1.8： □顯弈世，□□厥a(eŋ)成。
Mou2008.141.1.9： 伊産□繼，岱宗之a(eŋ)靈。
Mou2008.141.1.10： 喬嶽隕□，景命不□。
Mou2008.141.1.11： □□□□，□□□□。
Mou2008.141.1.12： □□□石，休有（以b(a)下全闕）。
Mou2008.142.1.1： 其辭曰：於穆使君，盛德炤a(iaŋ)明。
Mou2008.142.1.2： 爰惟懿業，帥由舊b(ɑŋ)章。
Mou2008.142.1.3： 文武彬彧，柔而能b(ɑŋ)剛。
Mou2008.142.1.4： 屈道從政，令名顯b(ɑŋ)揚。
Mou2008.142.1.5： 臣多醜直，是用遜b(ɑŋ)讓。
Mou2008.142.1.6： 且以毓姿，優游氐a(iaŋ)京。
Mou2008.142.1.7： 曷億遘罹，景命不b(ɑŋ)長。
Mou2008.142.1.8： 屋棟廎覆，君其喪c(uɑŋ)亡。
Mou2008.142.1.9： 如何如何，吁嗟昊b(ɑŋ)蒼。
Mou2008.142.1.10： 身退名存，永世遺c(uɑŋ)芳。
Mou2008.143.1.1： 其辭曰：天寔高，唯聖a(oŋ)同。
Mou2008.143.1.2： 戲我君，羨其a(oŋ)縱。
Mou2008.143.1.3： 體弘仁，蹈中a(oŋ)庸。
Mou2008.143.1.4： □臨歷，有休a(oŋ)功。
Mou2008.143.1.5： 追景行，亦難b(ɔŋ)雙。
Mou2008.143.1.6： 刊金石，示萬b(ɔŋ)邦。
Mou2008.144.1.1： 爲其辭曰：大造鍾靈，天生□a(ɑ)女。
Mou2008.144.1.2： 乃堅乃貞，履兹險a(ɑ)阻。
Mou2008.144.1.3： 悠悠□□，殄儔絕b(iɑ)侶。
Mou2008.144.1.4： 神祇可鑒，公姑弗c(ɨɑ)許。
Mou2008.144.1.5： 捐脰□從，穴□爾a(ɑ)汝。
Mou2008.144.1.6： 悲不勝言，慘不忍a(ɑ)覩。
Mou2008.144.1.7： 大節如斯，簡□可d(ɔk)數。
Mou2008.144.1.8： □憫厥□，恩及冥e(uo)府。
Mou2008.144.1.9： 吉地既遷，良辰既f(ok)卜。
Mou2008.144.1.10： 彼崇者堈，彼極者a(ɑ)浦。
Mou2008.144.1.11： 良兌咸亨，爰居爰a(ɑ)處。
Mou2008.144.1.12： 爲夗爲央，關關對b(iɑ)語。
Mou2008.144.1.13： 翹翹楚薪，肅肅風h(uɑ)雨。
Mou2008.144.1.14： 經之營之，毋傷厥a(ɑ)土。
Mou2008.144.1.15： 載歌載揚，灳騰齊a(ɑ)魯。
