Mou2008.015.1： 惟平山君，德配代嵩 承天【出】□，□佑秥蟬 興甘風雨，惠閏土田 □□壽考，五穀豐【成】 盜賊不起，□（主凡）□臧 出入吉利，咸受神光
Mou2008.026.1： 鑠王師兮徵荒裔 勦凶虐兮（雀戈）海外 夐其邈兮亘地界 封神丘兮建隆嵑 熙帝載兮振萬世
Mou2008.029.1： 哀賢明而不遂兮  嗟痛淑雅之夭年 去日日而下降兮 榮名絕不信 精浮游而（扌量）（扌主土）兮 魂鑣（云 夕音）而東西  恐精靈而迷惑兮  歌歸來而自還 掾兮歸來無妄行 卒遭毒氣遏匈殃
Mou2008.030.1.1： □□□□，□□□j結。
Mou2008.100.1.20： 競競業業，素絲《羔a羊》。
Mou2008.100.1.21： 誾誾侃侃，顒顒昂a昂。
Mou2008.100.1.22： 蹈規履榘，金玉其a相。
Mou2008.100.1.23： 謇謇王臣，羣公憲a章。
Mou2008.100.1.24： 樂旨君子，□□无a彊。
Mou2008.100.1.25： 銘勒金石，□□□□。
Mou2008.100.1.26： □問□□，萬世是a傳。
Mou2008.101.1.1： 其辭曰：玄乾鍾德，于我楊b君。
Mou2008.101.1.2： 其德伊何，如玉如ωz瑩。
Mou2008.101.1.3： 烝烝其孝，恂恂其a仁。
Mou2008.101.1.4： 躬尚節儉，□□□□。
Mou2008.101.1.5： □□□□，□□□a文。
Mou2008.101.1.6： 綱紀典謩，□□□□。
Mou2008.102.1.1： 昔在仲尼，汁光之精，大帝所挺，顔母毓e靈。
Mou2008.102.1.2： 承敝遭衰，黑不代倉，□㳅應聘，嘆鳳不ξa臻。
Mou2008.102.1.3： 自衛反魯，養徒三a千。
Mou2008.102.1.4： 獲麟趣作，端門見徵，血書著紀，黃玉𩐿a0應。
Mou2008.102.1.5： 主爲漢制，道審可a行。
Mou2008.102.1.6： 乃作《春秋》，復演《孝a經》。
Mou2008.102.1.7： 刪定六藝，象與天b0談。
Mou2008.102.1.8： 鉤《河》擿《雒》，𨛀揆未a然。
Mou2008.102.1.9： 魏魏蕩蕩，與乾比δy崇。
Mou2008.104.1.1： 其辭曰：赫赫休哉，故神君a皇。
Mou2008.104.1.2： 又有鴻稱，升遐見a紀。
Mou2008.104.1.3： 子孫仚予，慕仰靡c0恃。
Mou2008.104.1.4： 故刊茲石，𨖫達情a理。
Mou2008.104.1.5： 願時仿佛，賜其嘉a祉。
Mou2008.106.1.1： 惟漢建寧，號政三年，三月戊午，甲寅中旬，痛哉可哀，許阿瞿，年甫五歲，去離世e榮。
Mou2008.106.1.2： 遂就長q夜。
Mou2008.106.1.3： 不見日a星。
Mou2008.106.1.4： 神靈獨處，下歸窈e冥。
Mou2008.106.1.5： 永與家絕，豈復望d0顔。
Mou2008.106.1.6： 謁見先祖，念子營x營。
Mou2008.106.1.7： 三增仗人，皆往弔a親。
Mou2008.106.1.8： 瞿不識之，啼泣東a西。
Mou2008.106.1.9： 久乃隨逐，當時復a遷。
Mou2008.106.1.10： 父之與母，感□□□。
Mou2008.106.1.11： □王五月，不□晚e0甘。
Mou2008.106.1.12： 贏劣瘦□，投財連f0篇。
Mou2008.106.1.13： 冀子長哉，□□□□。
Mou2008.106.1.14： □□□此，□□土a塵。
Mou2008.106.1.15： 立起□埽，以快往a人。
Mou2008.105.1.1： 厥辭曰：惟斯柳君，天𢢾鯁□。
Mou2008.105.1.2： 𥫄祖□風，行無遺Y闕。
Mou2008.105.1.3： 授政股肱，諫爭匡δ弼。
Mou2008.105.1.4： 威外梱，属城震a栗。
Mou2008.105.1.5： 宰守伯煩，垂名所f立。
Mou2008.105.1.6： 表貢王庭，望極爵a位。
Mou2008.105.1.7： 何辜穹倉，官寵不a遂。
Mou2008.105.1.8： 予惟三六，庶昔延a季。
Mou2008.105.1.9： 建豎斯碑，傳于萬a世。
Mou2008.105.1.10： 子孫繁昌，永不a滅。
Mou2008.105.1.11： 嗚呼𢜺哉，嗚呼哀a哉！。
Mou2008.105.1.12： 曰：山陵玄室，□斯k邦兮。
Mou2008.105.1.13： 先人質，尚約e清兮。
Mou2008.105.1.14： 汶飭不雕，隩a臧兮。
Mou2008.105.1.15： 季子信舊，帶掛a松兮。
Mou2008.105.1.16： 僑俗追歿，激□a揚兮。
Mou2008.105.1.17： 亡而像存，樂n嘉兮。
Mou2008.105.1.18： 宗子于集，其l鳴兮。
Mou2008.105.1.19： 四祀烝甞，不廢g0㐬兮。
Mou2008.107.1.1： 其辭曰：於穆皇祖，天挺應d期。
Mou2008.107.1.2： 佐時理物，紹縱先ιq軌。
Mou2008.107.1.3： 積德勤約，燕于孫a子。
Mou2008.107.1.4： 君之群，並時繁a祉。
Mou2008.107.1.5： 明明君德，令問不a已。
Mou2008.107.1.6： 高山景行，慕前賢h0𠛱。
Mou2008.107.1.7： 庶同如蘭，意願未a止。
Mou2008.107.1.8： 中遭冤夭，不終其a紀。
Mou2008.107.1.9： 夙世霣祚，早喪懿a寶。
Mou2008.107.1.10： 抱器幽潛，永歸蒿a里。
Mou2008.107.1.11： 痛矣如之，行路感i0動。
Mou2008.107.1.12： 黨魂有靈，垂後不j0㱙。
Mou2008.108.1.1： 乃刊斯石，曰：赫赫明后，柔嘉惟則，克長克君，牧守三f國。
Mou2008.108.1.2： 三國清平，詠歌懿f德。
Mou2008.108.1.3： 瑞降豐稔，民以貨k0稙。
Mou2008.108.1.4： 威恩竝隆，遠人賓a服。
Mou2008.108.1.5： 鐉山浚瀆，路以安f直。
Mou2008.108.1.6： 繼禹之迹，亦世賴f福。
Mou2008.109.1.1： 其辭曰：穆穆我君，大聖之l0胄。
Mou2008.109.1.2： 惇懿允元，叡其玄δv秀。
Mou2008.109.1.3： 惟嶽降精，誕生忠a良。
Mou2008.109.1.4： 奉應郡貢，亮彼我□。
Mou2008.109.1.5： 克明王道，辯物居a方。
Mou2008.109.1.6： 周□□□，□也a名。
Mou2008.109.1.7： 朝無秕政，直哉惟e清。
Mou2008.109.1.8： 出統華夏，化以典e成。
Mou2008.109.1.9： □猾殄迸，賢倚□e庭。
Mou2008.109.1.10： 帝重乃勛，自□□e征。
Mou2008.109.1.11： 所臨如神，□□□□。
Mou2008.109.1.12： □□之翰，先民是a程。
Mou2008.109.1.13： 宜乎三事，金鉉利e貞。
Mou2008.109.1.14： 而絜《白駒》，俾世憤λm惻。
Mou2008.109.1.15： 當享眉耉，莫匪爾a極。
Mou2008.109.1.16： 大□□□，邈矣不a意。
Mou2008.109.1.17： 于嗟悲兮，□□□a息。
Mou2008.109.1.18： 庶幾，復焉所a力。
Mou2008.109.1.19： 咨乎不朽，沒而德a存。
Mou2008.109.1.20： 伊尹之休，格于皇a天。
Mou2008.109.1.21： 惟我君績，表于丹e青。
Mou2008.109.1.22： 永永無沂，與日月a竝。
Mou2008.109.1.23： 于嗟□□，于以慰e靈。
Mou2008.110.1.1： 其辭曰：□□□□，□德□k隆。
Mou2008.110.1.2： 擅名舊燿，如雲如a龍。
Mou2008.110.1.3： □□□□，□□□□。
Mou2008.110.1.4： □磐石□，逢此百a凶。
Mou2008.110.1.5： 仁風既敷，□義□□。
Mou2008.110.1.6： 識□□□，刊□□k頌。
Mou2008.110.1.7： 此□□與，□□□□。
Mou2008.110.1.8： □□□□，以表□□。
Mou2008.111.1.1： 乃作頌曰：□□□□，降茲惠b君。
Mou2008.111.1.2： 克明俊德，允武允a文。
Mou2008.111.1.3： 躬儉尚約，化流若g神。
Mou2008.111.1.4： 氓如□，□□平o均。
Mou2008.111.1.5： 精通晧穹，三納苻o銀。
Mou2008.111.1.6： 所歴垂勲，香風有o隣。
Mou2008.111.1.7： 仍致瑞應，豐稔□□，□□□樂，行人夷o欣。
Mou2008.111.1.8： 慕君靡已，乃詠新詩：□□□□兮，川兌之t間。
Mou2008.111.1.9： 高山崔巍兮，水流蕩o蕩。
Mou2008.111.1.10： 地既塉确兮，與寇爲o隣。
Mou2008.111.1.11： □□□□□，□以析o分。
Mou2008.111.1.12： 或失緒業兮，至于困o貧。
Mou2008.111.1.13： 危危累卵兮，聖朝閔o憐。
Mou2008.111.1.14： 髦艾究□兮，幼□□□，□□救傾兮，󷳾育□o遺。
Mou2008.111.1.15： 劬勞日稷兮，惟惠勤o勤。
Mou2008.111.1.16： 黃邵朱龔兮，蓋不□□，□□充贏兮，百姓歡o欣。
Mou2008.111.1.17： 僉曰太平兮，文翁復a存。
Mou2008.113.1.1： 其辭曰：於赫慶都，德𢑃a大兮。
Mou2008.113.1.2： 承神精燿，統赤μ裔兮。
Mou2008.113.1.3： 爰生聖堯，名盖a世兮。
Mou2008.113.1.4： 上受符命，𨒭帝a制兮。
Mou2008.113.1.5： 廣彼之恩，流荒b外兮。
Mou2008.113.1.6： 歷紀千，垂遺β愛兮。
Mou2008.113.1.7： 陵廟復崇，享大m0祭兮。
Mou2008.113.1.8： 上来多怙，降福μ沛兮。
Mou2008.113.1.9： 萬國禧寍，孰不n0賴兮。
Mou2008.113.1.10： 光宣美勛，永未o0𢅷兮。
Mou2008.113.1.11： 垂視罔極，億萬p0嵗兮。
Mou2008.114.1.1： 其辭曰：天降雄彥，資才卓a茂。
Mou2008.114.1.2： 仰高鑽堅，允文允a武。
Mou2008.114.1.3： 內幹三署，外□師a旅。
Mou2008.114.1.4： □勒屯守，奮威□a武。
Mou2008.114.1.5： 旌旗絳天，雷震電a舉。
Mou2008.114.1.6： 敷燿赫然，𨹧惟哮a虎。
Mou2008.114.1.7： 當遂股肱，□之元h輔。
Mou2008.114.1.8： 天何不弔，降此□a咎。
Mou2008.114.1.9： 𤹯乎我君，仁如不a壽。
Mou2008.114.1.10： 爵不副德，位不稱k功。
Mou2008.114.1.11： 咸褱傷愴，遠近哀a同。
Mou2008.114.1.12： 身沒□□，萬世諷k誦。
Mou2008.116.1.1： 讃曰：皇靈炳，郢令a名矣。
Mou2008.116.1.2： 作民父母，化洽a平矣。
Mou2008.116.1.3： 百工維時，品流a刑矣。
Mou2008.116.1.4： 善勸惡懼，物咸a寧矣。
Mou2008.116.1.5： 三考絀勅，陟幽a明矣。
Mou2008.116.1.6： 振處實，畼e聲矣。
Mou2008.116.1.7： 重曰：皇靈禀氣，卓有e純兮。
Mou2008.116.1.8： 惟汶降神，挺斯b君兮。
Mou2008.116.1.9： 未升卿尹，中失a年兮。
Mou2008.116.1.10： 流名後載，久而e榮兮。
Mou2008.116.1.11： 勒銘金石，表績e勳兮。
Mou2008.116.1.12： 冀勉來嗣，示後e昆兮。
Mou2008.118.1.1： 其銘曰：巗巗山岳，礧落彰q0䡈。
Mou2008.118.1.2： 棠棠忠惠，令德孔r0㜰。
Mou2008.118.1.3： 命□時生，雅𪪺s0綽。
Mou2008.118.1.4： 允彣允武，厥姿烈t0逴。
Mou2008.118.1.5： 內懷温潤，撮強u0虐。
Mou2008.118.1.6： 督司京師，𥡻然清v0邈。
Mou2008.118.1.7： 當□緄職，爲國之w0榷。
Mou2008.118.1.8： 匪究南山，遐邇忉□。
Mou2008.118.1.9： 凡百君子，欽諡嘉a樂。
Mou2008.118.1.10： 永傳齡，㬇矣旳x0旳。
Mou2008.120.1.1： 其辭曰：穆穆楊公，命世而a生。
Mou2008.120.1.2： 乃台吐燿，乃嶽降e精。
Mou2008.120.1.3： 明明天子，實公是a匡。
Mou2008.120.1.4： 冥冥六合，實公是a光。
Mou2008.120.1.5： 謇謇其直，皦皦其e清。
Mou2008.120.1.6： 懿矣盛德，萬世垂e榮。
Mou2008.120.1.7： 勒勳金石，日月同y0炯。
Mou2008.121.1.1： 其詞曰：皇矣先生，褢悳惟a明。
Mou2008.121.1.2： 優於《春秋》，玄嚜有e成。
Mou2008.121.1.3： 知賤爲貴，與世無z0爭。
Mou2008.121.1.4： 𢕌𢓡衡門，禮義滋g醇。
Mou2008.121.1.5： 窮下不苟，知我者a天。
Mou2008.121.1.6： 身歿聲鬯，千載作a1珍。
Mou2008.121.1.7： 緜之日月，與金石a存。
Mou2008.122.1.1： 其辭曰：泰華惟岳，神曜吐e精。
Mou2008.122.1.2： 育茲令德，既喆且a明。
Mou2008.122.1.3： 寔謂耿君，天胙顯e榮。
Mou2008.122.1.4： 司牧莅政，布化惟e成。
Mou2008.122.1.5： 柔嘉惟則，穆如風e清。
Mou2008.122.1.6： 勤卹民隱，拯阨捄a傾。
Mou2008.122.1.7： 匪皇啓處，東撫西e征。
Mou2008.122.1.8： 赤子遭慈，以活以a生。
Mou2008.122.1.9： 山靈挺寶，匈灾乃a平。
Mou2008.122.1.10： 愷悌父母，民賴以a寧。
Mou2008.122.1.11： 毛遠明《漢魏六朝碑刻校注》第二b1冊。
Mou2008.124.1.1： 辭曰：弈弈靈社，式爲後h土。
Mou2008.124.1.2： 平我九州，育我百a穀。
Mou2008.124.1.3： 禽獸遯跡，羣黎安j處。
Mou2008.124.1.4： 先民報功，建立兆f域。
Mou2008.124.1.5： 降及於今，纉戎前h緒。
Mou2008.124.1.6： 率由舊章，百廢俱a舉。
Mou2008.124.1.7： 營工既定，薦其時a熟。
Mou2008.124.1.8： 時熟維何，或剝或c1亨。
Mou2008.124.1.9： 燔炙芬芬，犧牲粢a盛。
Mou2008.124.1.10： 樂俱入奏，舞以象k功。
Mou2008.124.1.11： 神之格斯，亨我香d1馨。
Mou2008.124.1.12： 降其多福，國家和a平。
Mou2008.124.1.13： 灾害不侵，五穀熟e成。
Mou2008.124.1.14： 歲其有年，民以安a寧。
Mou2008.127.1.1： 敘曰：於惟我君，明允廣淵，學兼游夏，德配臧a文。
Mou2008.127.1.2： 歿而不朽，實有立a言。
Mou2008.127.1.3： 其言惟何，□□□□。
Mou2008.128.1.1： 於鑠明德，于我尹b君。
Mou2008.128.1.2： 龜銀之胄，弈世載g勛。
Mou2008.128.1.3： 綱紀本朝，優劣殊o分。
Mou2008.128.1.4： 守攝百里，遺愛在g民。
Mou2008.128.1.5： 佐翼牧伯，諸夏肅g震。
Mou2008.128.1.6： 當漸鴻羽，爲漢輔q臣。
Mou2008.128.1.7： 位不福德，壽不隨a仁。
Mou2008.128.1.8： 景命不永，早即幽o昏。
Mou2008.128.1.9： 名光来世，萬祀不e1泯。
Mou2008.131.1.1： 其辭曰：猗余烈考，秉夷塞r淵。
Mou2008.131.1.2： 遭家不造，艱難之f1運。
Mou2008.131.1.3： 自東徂西，再離隘o勤。
Mou2008.131.1.4： 窮逼不憫，淑慎其g身。
Mou2008.131.1.5： 斿居放言，在約思e純。
Mou2008.131.1.6： 研機墳素，在國必a聞。
Mou2008.131.1.7： 辭榮抗介，追迹前e勳。
Mou2008.131.1.8： 立德流范，作式後e昆。
Mou2008.133.1.1： 這段沒有“詞曰”，但看着像韻a文。
Mou2008.133.1.2： □□分氣，建立乾g坤。
Mou2008.133.1.3： 乾爲物父，坤爲物母，運生六子，八卦爲a主。
Mou2008.133.1.4： 艮土爲山，□造風h雨。
Mou2008.133.1.5： 天有九部，地有八h柱。
Mou2008.133.1.6： 天地通精，神明列h序。
Mou2008.133.1.7： 州有九山，丘曰成h土。
Mou2008.133.1.8： 北嶽之山，連井陘h阻。
Mou2008.133.1.9： 上爲祈首，含□陰a寶。
Mou2008.133.1.10： 南號三公，厥體嵩厚，峻極于天，鼎足而□。
Mou2008.133.1.11： 二郡宗祀，□奉□g神。
Mou2008.133.1.12： 明公嘉佑，□無形h兆。
Mou2008.133.1.13： 觸石出雲，不崇而h雨。
Mou2008.133.1.14： 除民氛厲，莫不□□。
Mou2008.133.1.15： 德配五岳，王公所h緒。
Mou2008.133.1.16： 四時珪璧，月醮酒h脯。
Mou2008.133.1.17： 明公降靈，惟德□h輔。
Mou2008.133.1.18： 士䆠得志，列爲羣h后。
Mou2008.133.1.19： 或在王庭，輔翼聖a主。
Mou2008.133.1.20： 颺雨時降，和其寒h暑。
Mou2008.133.1.21： 年豐歲稔，介我稷h黍。
Mou2008.133.1.22： 倉府既盈，以穀士a女。
Mou2008.133.1.23： 髟儁得進，陳其鼎h俎。
Mou2008.133.1.24： 黃龍白虎，伏在山a所。
Mou2008.133.1.25： 禽獸碩大，億兩爲h耦。
Mou2008.133.1.26： 草木畼茂，巨仞不h數。
Mou2008.133.1.27： 而民知禁，順時而a取。
Mou2008.133.1.28： 皆受德化，非性能h者。
Mou2008.133.1.29： 賴明公垂恩罔極，保我國君，羣犂百姓，永受元a恩。
Mou2008.133.1.30： 乃作頌曰：儼儼明公，民所h瞻兮。
Mou2008.133.1.31： 山谷窈窕，石巖h巖兮。
Mou2008.133.1.32： 高倉□□，候羣g神兮。
Mou2008.133.1.33： 興雲致雨，除民a患兮。
Mou2008.133.1.34： 長吏肅恭，得懽a心兮。
Mou2008.133.1.35： 四時奉祀，黍稷a陳兮。
Mou2008.133.1.36： 犧用握尺，□具□兮。
Mou2008.133.1.37： 百姓家給，國富h殷兮。
Mou2008.133.1.38： 仁愛下下，民附a親兮。
Mou2008.133.1.39： 遐邇携負，来若a雲兮。
Mou2008.133.1.40： 或有薪采，投輻h檀兮。
Mou2008.133.1.41： 或有□鬼，阻出□兮。
Mou2008.133.1.42： 或有□□，□□h耘兮。
Mou2008.133.1.43： 或有隱遁，辟語a言兮。
Mou2008.133.1.44： 或有恬惔，養晧a然兮。
Mou2008.133.1.45： 或有呼吸，求長a存兮。
Mou2008.133.1.46： 跂行喙息，皆□a恩兮。
Mou2008.133.1.47： □佑樊瑋，出谷a遷兮。
Mou2008.133.1.48： 封侯食邑，傳子a孫兮。
Mou2008.133.1.49： 刻石紀德，示後e昆兮。
Mou2008.133.1.50： 永永不幤，億載a年兮。
Mou2008.135.1.1： 乃作敘曰：翼翼聖慈，恵我黎ρd蒸。
Mou2008.135.1.2： 貽我潘君，平茲溧a陽。
Mou2008.135.1.3： 彬彣赳武，扶弱抑a彊。
Mou2008.135.1.4： □刈骾雄，流惡顯a忠。
Mou2008.135.1.5： 咨疑元老，師臤作ςs朋。
Mou2008.135.1.6： 脩學童冠，琢質繡a章。
Mou2008.135.1.7： 寔天生德，有漢將a興。
Mou2008.135.1.8： 尚旦在昔，我君存σs今。
Mou2008.135.1.9： 即此龜艾，遂尹三a梁。
Mou2008.135.1.10： 永世支百，民人所a彰。
Mou2008.135.1.11： 子子孫孫，卑尒熾a昌。
Mou2008.136.1.1： 於戯使君，既膺渘德，貢躡帝j宇。
Mou2008.136.1.2： 入叅文昌，出化西h土。
Mou2008.136.1.3： 仁義充衍，澤洽□□。
Mou2008.136.1.4： （下闕）德，世記其ιq軌。
Mou2008.136.1.5： 辭疾輕居，棄榮潛j處。
Mou2008.136.1.6： 不卒苻宿，究是台h輔。
Mou2008.136.1.7： 三方失□，不□黯（下闕）徂落，不留舜g1禹。
Mou2008.136.1.8： 二書之應，臻于己a丑。
Mou2008.136.1.9： 辰五盈虧，猶有代h序。
Mou2008.136.1.10： □茲后土，光y燿（下闕）。
Mou2008.137.1.1： 其辭曰：聲芳烈，作王q臣。
Mou2008.137.1.2： 運天樞，釐三辰，擿烖h1吝。
Mou2008.137.1.3： □□φz壯。
Mou2008.137.1.4： 道欽a明。
Mou2008.137.1.5： 將天飛，翼紫宮，壽不q永。
Mou2008.137.1.6： 喪菁光，形□i1襟。
Mou2008.137.1.7： 書洪勳，昭萬ψv軨。
Mou2008.138.1.1： 其辭曰：巖巖白石，峻極太e清。
Mou2008.138.1.2： 晧晧素質，因體爲a名。
Mou2008.138.1.3： 惟山降神，髦士挺a生。
Mou2008.138.1.4： 濟濟俊乂，朝野充e盈。
Mou2008.138.1.5： 灾害不起，五穀熟e成。
Mou2008.138.1.6： 乃依無極，聖朝見e聽。
Mou2008.138.1.7： 遂興靈宮，于山之a陽。
Mou2008.138.1.8： 營宇之制，是度是j1量。
Mou2008.138.1.9： 卜云其吉，終然允a臧。
Mou2008.138.1.10： 匪奢匪儉，率由舊a章。
Mou2008.138.1.11： 華殿清閑，肅雍顯a相。
Mou2008.138.1.12： 玄圖靈像，穆穆皇a皇。
Mou2008.138.1.13： 四時禋祀，不愆不a忘。
Mou2008.138.1.14： 擇其令辰，進其馨香，犧牲玉帛，黍稷稻k1粮。
Mou2008.138.1.15： 神降嘉祉，萬壽無a畺。
Mou2008.138.1.16： 子子孫孫，永永番a昌。
Mou2008.139.1.1： 其辭曰：懿明后，德義a章。
Mou2008.139.1.2： 貢王庭，征鬼a方。
Mou2008.139.1.3： 威布烈，安殊a巟。
Mou2008.139.1.4： 還師旅，臨槐a里。
Mou2008.139.1.5： 感孔懷，赴喪a紀。
Mou2008.139.1.6： 嗟逆賊，燔城a市。
Mou2008.139.1.7： 特受命，理殘a圮。
Mou2008.139.1.8： 芟不臣，寧黔a首。
Mou2008.139.1.9： 繕官寺，開南a門。
Mou2008.139.1.10： 闕嵯峨，望崋a山。
Mou2008.139.1.11： 鄉明治，恵沾a渥。
Mou2008.139.1.12： 吏樂政，民給a足。
Mou2008.139.1.13： 君高升，極鼎a足。
Mou2008.140.1.1： 於穆我君，既敦既e純。
Mou2008.140.1.2： 雪白之性，孝友之a仁。
Mou2008.140.1.3： 紀行求本，蘭生有芬，克岐有兆，綏御有g勛。
Mou2008.140.1.4： 利器不覿，魚不出r淵。
Mou2008.140.1.5： 國之良幹，垂愛在g民。
Mou2008.140.1.6： 𢅷沛棠樹，溫溫恭a人。
Mou2008.140.1.7： 乾道不繆，唯淑是a親。
Mou2008.140.1.8： 既多受祉，永享南a山。
Mou2008.140.1.9： 干祿无疆，子子孫a孫。
Mou2008.141.1.1： 其辭曰：堂堂恵君，明□□e聲。
Mou2008.141.1.2： □□□□，□□□□。
Mou2008.141.1.3： 帝□□□，□君我e城。
Mou2008.141.1.4： 討賊□□，如雷如l1霆。
Mou2008.141.1.5： 既克有定，我心則a寧。
Mou2008.141.1.6： 民□賴祉，□□□□。
Mou2008.141.1.7： □□跡□，□□□□。
Mou2008.141.1.8： □顯弈世，□□厥e成。
Mou2008.141.1.9： 伊産□繼，岱宗之e靈。
Mou2008.141.1.10： 喬嶽隕□，景命不□。
Mou2008.141.1.11： □□□□，□□□□。
Mou2008.141.1.12： □□□石，休有（以a下全闕）。
Mou2008.142.1.1： 其辭曰：於穆使君，盛德炤a明。
Mou2008.142.1.2： 爰惟懿業，帥由舊a章。
Mou2008.142.1.3： 文武彬彧，柔而能a剛。
Mou2008.142.1.4： 屈道從政，令名顯a揚。
Mou2008.142.1.5： 臣多醜直，是用遜g讓。
Mou2008.142.1.6： 且以毓姿，優游氐a京。
Mou2008.142.1.7： 曷億遘罹，景命不a長。
Mou2008.142.1.8： 屋棟廎覆，君其喪g亡。
Mou2008.142.1.9： 如何如何，吁嗟昊a蒼。
Mou2008.142.1.10： 身退名存，永世遺a芳。
Mou2008.143.1.1： 其辭曰：天寔高，唯聖a同。
Mou2008.143.1.2： 戲我君，羨其k縱。
Mou2008.143.1.3： 體弘仁，蹈中a庸。
Mou2008.143.1.4： □臨歷，有休k功。
Mou2008.143.1.5： 追景行，亦難a雙。
Mou2008.143.1.6： 刊金石，示萬k邦。
Mou2008.144.1.1： 爲其辭曰：大造鍾靈，天生□a女。
Mou2008.144.1.2： 乃堅乃貞，履兹險h阻。
Mou2008.144.1.3： 悠悠□□，殄儔絕β侶。
Mou2008.144.1.4： 神祇可鑒，公姑弗h許。
Mou2008.144.1.5： 捐脰□從，穴□爾m1汝。
Mou2008.144.1.6： 悲不勝言，慘不忍n1覩。
Mou2008.144.1.7： 大節如斯，簡□可h數。
Mou2008.144.1.8： □憫厥□，恩及冥o1府。
Mou2008.144.1.9： 吉地既遷，良辰既ζt卜。
Mou2008.144.1.10： 彼崇者堈，彼極者p1浦。
Mou2008.144.1.11： 良兌咸亨，爰居爰j處。
Mou2008.144.1.12： 爲夗爲央，關關對h語。
Mou2008.144.1.13： 翹翹楚薪，肅肅風h雨。
Mou2008.144.1.14： 經之營之，毋傷厥h土。
Mou2008.144.1.15： 載歌載揚，灳騰齊δ魯。
Mou2008.144.1.16： 永保靡他，芳魂千a古。
Mou2008.145.1.1： 其辭曰：於戯与考，經德炳a明。
Mou2008.145.1.2： 勞謙損益，耽古儉e清。
Mou2008.145.1.3： 立朝正色，能無撓e廎。
Mou2008.145.1.4： 威恩御下，持滿億e盈。
Mou2008.145.1.5： 所歷見慕，遺歌景l形。
Mou2008.145.1.6： 書載俊艾，股肱幹g楨。
Mou2008.145.1.7： 有物有則，模楷後a生。
Mou2008.145.1.8： 宜叅鼎鉉，稽建皇e靈。
Mou2008.145.1.9： 王路阪險，鬼方不e庭。
Mou2008.145.1.10： 恒戢節足，親寵賤e榮。
Mou2008.145.1.11： 故□天選，而捐陪q臣。
Mou2008.145.1.12： 晏嬰𨚍殿，留侯距齊，非辭福也，乃辟q1𥚝兮。
Mou2008.145.1.13： 亂曰：渾元垂像，岳瀆氵a仁兮。
Mou2008.145.1.14： 金精火佐，實生t賢兮。
Mou2008.145.1.15： □欲救民，德彌a大兮。
Mou2008.145.1.16： 遭偶陽九，百六a會兮。
Mou2008.145.1.17： 當□遐年，今遂a逝兮。
Mou2008.145.1.18： 歍呼哀哉，魂神a往兮。
Mou2008.147.1.1： 因作頌曰：穆穆我君，帝顓之l0胄。
Mou2008.147.1.2： 匡輔齊桓，□無其g偶。
Mou2008.147.1.3： 苖裔流衍，□彼梁a州。
Mou2008.147.1.4： 惟君立莭，卓爾絶η殊。
Mou2008.147.1.5： 學□從政，□無茹□。
Mou2008.147.1.6： 宰城子牧，惠澤沾a優。
Mou2008.147.1.7： 剖苻典郡，威徳□□。
Mou2008.147.1.8： 示民敬讓，閼斷苞a組。
Mou2008.147.1.9： 宜享□輔，□徳將H舒。
Mou2008.147.1.10： 乾流□戻，□見隕q徂。
Mou2008.147.1.11： 凡百悽愴，痛乎何νx辜。
Mou2008.147.1.12： 祚爾後嗣，子孫之r1模。
Mou2008.149.1.1： 洋洋黃河，洪流東s1迴。
Mou2008.149.1.2： 峨峨（下闕）唯立德，政化是t1毗。
Mou2008.149.1.3： 其毗唯（下闕）不弔景命，摧傷邦a人。
Mou2008.149.1.4： 追b慕（下闕）。
Mou2008.150.1.1： 嗟彼浮陽，人道閑a明。
Mou2008.150.1.2： 秉心塞淵，循禮有a常。
Mou2008.150.1.3： 當軒漢室，天下柱a梁。
Mou2008.150.1.4： 何億掩忽，早棄元a陽。
Mou2008.159.1.1： 惟斯新政，假貸貧a人。
Mou2008.159.1.2： 監護大夫，齊人君a卿。
Mou2008.159.1.3： 方正散金，義直恩a周。
Mou2008.159.1.4： 立石刻辭，我里不g亡。
Mou2008.161.1.1： 其辭曰：□□□□，□□□□。
Mou2008.161.1.2： □□□□，□□□□。
Mou2008.161.1.3： 遂享神藥，超浮a雲兮。
Mou2008.161.1.4： u1翺。
Mou2008.167.1.1： 懫性清v1潔。
Mou2008.167.1.2： 丁時，才量休w1赫。
Mou2008.167.1.3： 牧伯張君，開示坐ςm席。
Mou2008.167.1.4： 顧視忘宦，位不副f德。
Mou2008.167.1.5： 年過知命，遭疾掩a忽。
Mou2008.167.1.6： 痛哉于嗟，c誰。
Mou2008.167.1.7： 辟a世？。
