Mou2008.015.1.1： 惟平山a君。
Mou2008.099.1.14： 牧邦a畿。
Mou2008.099.1.15： 棃烝a殷。
Mou2008.099.1.16： 罔荒a饑。
Mou2008.099.1.17： 感良a臣。
Mou2008.099.1.18： 哀其a靈。
Mou2008.099.1.19： 朅輕a舉。
Mou2008.099.1.20： □来a征。
Mou2008.099.1.21： 民歎a思。
Mou2008.099.1.22： 暨輿a人。
Mou2008.099.1.23： 宰府a命。
Mou2008.099.1.24： 遂□。
Mou2008.099.1.25： 名振a射。
Mou2008.099.1.26： □彌a闡。
Mou2008.099.1.27： 垂令a紀。
Mou2008.099.1.28： 永不a刊。
Mou2008.099.1.29： 亐胥a德。
Mou2008.099.1.30： 㳅後a昆。
Mou2008.100.1.1： 其辭曰：峨峨我a君。
Mou2008.100.1.2： 烈孔a純。
Mou2008.100.1.3： 高朗神a武。
Mou2008.100.1.4： 歷世忠a孝。
Mou2008.100.1.5： 馮隆鴻a軌。
Mou2008.100.1.6： 不忝前a人。
Mou2008.100.1.7： 寬猛不a主。
Mou2008.100.1.8： 德義是a經。
Mou2008.100.1.9： 韜綜頙□。
Mou2008.100.1.10： 溫故前a呈。
Mou2008.100.1.11： 㩜英接a秀。
Mou2008.100.1.12： 踵迹晏a平。
Mou2008.100.1.13： 初據百a里。
Mou2008.100.1.14： 顯顯令a聞。
Mou2008.100.1.15： 濟康下a民。
Mou2008.100.1.16： 曜武南a會。
Mou2008.100.1.17： 邊民是a鎮。
Mou2008.100.1.18： 惟□□□。
Mou2008.100.1.19： 憂及退a身。
Mou2008.100.1.20： 叅議帝a室。
Mou2008.100.1.21： 剖苻守a藩。
Mou2008.100.1.22： 北靖□□。
Mou2008.100.1.23： 有□有a聲。
Mou2008.100.1.24： 旋守中a嶽。
Mou2008.100.1.25： 幽滯以a榮。
Mou2008.100.1.26： 邁種舊a京。
Mou2008.100.1.27： 忄□□□。
Mou2008.100.1.28： 含澤戴a仁。
Mou2008.100.1.29： □□攸a寧。
Mou2008.100.1.30： 剋長剋a君。
Mou2008.100.1.31： 不虞不a陽。
Mou2008.100.1.32： 維明維a允。
Mou2008.100.1.33： 燿此聲a香。
Mou2008.100.1.34： 能悊能a惠。
Mou2008.100.1.35： 剋亮天a功。
Mou2008.100.1.36： 入統□□。
Mou2008.100.1.37： 赳赳光a光。
Mou2008.100.1.38： 法言稽a古。
Mou2008.100.1.39： 道而後a行。
Mou2008.100.1.40： 競競業a業。
Mou2008.100.1.41： 素絲《羔a羊》。
Mou2008.100.1.42： 誾誾侃a侃。
Mou2008.100.1.43： 顒顒昂a昂。
Mou2008.100.1.44： 蹈規履a榘。
Mou2008.100.1.45： 金玉其a相。
Mou2008.100.1.46： 謇謇王a臣。
Mou2008.100.1.47： 羣公憲a章。
Mou2008.100.1.48： 樂旨君a子。
Mou2008.100.1.49： □□无a彊。
Mou2008.100.1.50： 銘勒金a石。
Mou2008.100.1.51： □□□□。
Mou2008.100.1.52： □問□□。
Mou2008.100.1.53： 萬世是a傳。
Mou2008.101.1.1： 其辭曰：玄乾鍾a德。
Mou2008.101.1.2： 于我楊a君。
Mou2008.101.1.3： 其德伊a何。
Mou2008.101.1.4： 如玉如a瑩。
Mou2008.101.1.5： 烝烝其a孝。
Mou2008.101.1.6： 恂恂其a仁。
Mou2008.101.1.7： 躬尚節a儉。
Mou2008.101.1.8： □□□□。
Mou2008.101.1.9： □□□□。
Mou2008.101.1.10： □□□a文。
Mou2008.101.1.11： 綱紀典a謩。
Mou2008.101.1.12： □□□□。
Mou2008.102.1.1： 昔在仲a尼。
Mou2008.102.1.2： 汁光之a精。
Mou2008.102.1.3： 大帝所a挺。
Mou2008.102.1.4： 顔母毓a靈。
Mou2008.102.1.5： 承敝遭a衰。
Mou2008.102.1.6： 黑不代a倉。
Mou2008.102.1.7： □㳅應a聘。
Mou2008.102.1.8： 嘆鳳不a臻。
Mou2008.102.1.9： 自衛反a魯。
Mou2008.102.1.10： 養徒三a千。
Mou2008.102.1.11： 獲麟趣a作。
Mou2008.102.1.12： 端門見a徵。
Mou2008.102.1.13： 血書著a紀。
Mou2008.102.1.14： 黃玉𩐿a應。
Mou2008.102.1.15： 主爲漢a制。
Mou2008.102.1.16： 道審可a行。
Mou2008.102.1.17： 乃作《春a秋》。
Mou2008.102.1.18： 復演《孝a經》。
Mou2008.102.1.19： 刪定六a藝。
Mou2008.102.1.20： 象與天a談。
Mou2008.102.1.21： 鉤《河》擿《a雒》。
Mou2008.102.1.22： 𨛀揆未a然。
Mou2008.102.1.23： 魏魏蕩a蕩。
Mou2008.102.1.24： 與乾比a崇。
Mou2008.104.1.1： 其辭曰：赫赫休a哉。
Mou2008.104.1.2： 故神君a皇。
Mou2008.104.1.3： 又有鴻a稱。
Mou2008.104.1.4： 升遐見a紀。
Mou2008.104.1.5： 子孫仚a予。
Mou2008.104.1.6： 慕仰靡a恃。
Mou2008.104.1.7： 故刊茲a石。
Mou2008.104.1.8： 𨖫達情a理。
Mou2008.104.1.9： 願時仿a佛。
Mou2008.104.1.10： 賜其嘉a祉。
Mou2008.106.1.1： 惟漢建a寧。
Mou2008.106.1.2： 號政三a年。
Mou2008.106.1.3： 三月戊a午。
Mou2008.106.1.4： 甲寅中a旬。
Mou2008.106.1.5： 痛哉可a哀。
Mou2008.106.1.6： 許阿a瞿。
Mou2008.106.1.7： 年甫五a歲。
Mou2008.106.1.8： 去離世a榮。
Mou2008.106.1.9： 遂就長a夜。
Mou2008.106.1.10： 不見日a星。
Mou2008.106.1.11： 神靈獨a處。
Mou2008.106.1.12： 下歸窈a冥。
Mou2008.106.1.13： 永與家a絕。
Mou2008.106.1.14： 豈復望a顔。
Mou2008.106.1.15： 謁見先a祖。
Mou2008.106.1.16： 念子營a營。
Mou2008.106.1.17： 三增仗a人。
Mou2008.106.1.18： 皆往弔a親。
Mou2008.106.1.19： 瞿不a識之。
Mou2008.106.1.20： 啼泣東a西。
Mou2008.106.1.21： 久乃隨a逐。
Mou2008.106.1.22： 當時復a遷。
Mou2008.106.1.23： 父之與a母。
Mou2008.106.1.24： 感□□□。
Mou2008.106.1.25： □王五a月。
Mou2008.106.1.26： 不□晚a甘。
Mou2008.106.1.27： 贏劣瘦□。
Mou2008.106.1.28： 投財連a篇。
Mou2008.106.1.29： 冀子長a哉。
Mou2008.106.1.30： □□□□。
Mou2008.106.1.31： □□□a此。
Mou2008.106.1.32： □□土a塵。
Mou2008.106.1.33： 立起□a埽。
Mou2008.106.1.34： 以快往a人。
Mou2008.105.1.1： 厥辭曰：惟斯柳a君。
Mou2008.105.1.2： 天𢢾鯁□。
Mou2008.105.1.3： 𥫄祖□a風。
Mou2008.105.1.4： 行無遺a闕。
Mou2008.105.1.5： 授政股a肱。
Mou2008.105.1.6： 諫爭匡a弼。
Mou2008.105.1.7： 威外a梱。
Mou2008.105.1.8： 属城震a栗。
Mou2008.105.1.9： 宰守伯a煩。
Mou2008.105.1.10： 垂名所a立。
Mou2008.105.1.11： 表貢王a庭。
Mou2008.105.1.12： 望極爵a位。
Mou2008.105.1.13： 何辜穹a倉。
Mou2008.105.1.14： 官寵不a遂。
Mou2008.105.1.15： 予惟三a六。
Mou2008.105.1.16： 庶昔延a季。
Mou2008.105.1.17： 建豎斯a碑。
Mou2008.105.1.18： 傳于萬a世。
Mou2008.105.1.19： 子孫繁a昌。
Mou2008.105.1.20： 永不a滅。
Mou2008.105.1.21： 嗚呼𢜺a哉。
Mou2008.105.1.22： 嗚呼哀a哉！。
Mou2008.105.1.23： 曰：山陵玄a室。
Mou2008.105.1.24： □斯a邦兮。
Mou2008.105.1.25： 先人a質。
Mou2008.105.1.26： 尚約a清兮。
Mou2008.105.1.27： 汶飭不a雕。
Mou2008.105.1.28： 隩a臧兮。
Mou2008.105.1.29： 季子信a舊。
Mou2008.105.1.30： 帶掛a松兮。
Mou2008.105.1.31： 僑俗追a歿。
Mou2008.105.1.32： 激□a揚兮。
Mou2008.105.1.33： 亡而像a存。
Mou2008.105.1.34： 樂a嘉兮。
Mou2008.105.1.35： 宗子于a集。
Mou2008.105.1.36： 其a鳴兮。
Mou2008.105.1.37： 四祀烝a甞。
Mou2008.105.1.38： 不廢a㐬兮。
Mou2008.107.1.1： 其辭曰：於穆皇a祖。
Mou2008.107.1.2： 天挺應a期。
Mou2008.107.1.3： 佐時理a物。
Mou2008.107.1.4： 紹縱先a軌。
Mou2008.107.1.5： 積德勤a約。
Mou2008.107.1.6： 燕于孫a子。
Mou2008.107.1.7： 君之a群。
Mou2008.107.1.8： 並時繁a祉。
Mou2008.107.1.9： 明明君a德。
Mou2008.107.1.10： 令問不a已。
Mou2008.107.1.11： 高山景a行。
Mou2008.107.1.12： 慕前賢a𠛱。
Mou2008.107.1.13： 庶同如a蘭。
Mou2008.107.1.14： 意願未a止。
Mou2008.107.1.15： 中遭冤a夭。
Mou2008.107.1.16： 不終其a紀。
Mou2008.107.1.17： 夙世霣a祚。
Mou2008.107.1.18： 早喪懿a寶。
Mou2008.107.1.19： 抱器幽a潛。
Mou2008.107.1.20： 永歸蒿a里。
Mou2008.107.1.21： 痛矣a如之。
Mou2008.107.1.22： 行路感a動。
Mou2008.107.1.23： 黨魂有a靈。
Mou2008.107.1.24： 垂後不a㱙。
Mou2008.108.1.1： 乃刊斯a石。
Mou2008.108.1.2： 曰：赫赫明a后。
Mou2008.108.1.3： 柔嘉惟a則。
Mou2008.108.1.4： 克長克a君。
Mou2008.108.1.5： 牧守三a國。
Mou2008.108.1.6： 三國清a平。
Mou2008.108.1.7： 詠歌懿a德。
Mou2008.108.1.8： 瑞降豐a稔。
Mou2008.108.1.9： 民以貨a稙。
Mou2008.108.1.10： 威恩竝a隆。
Mou2008.108.1.11： 遠人賓a服。
Mou2008.108.1.12： 鐉山浚a瀆。
Mou2008.108.1.13： 路以安a直。
Mou2008.108.1.14： 繼禹之a迹。
Mou2008.108.1.15： 亦世賴a福。
Mou2008.109.1.1： 其辭曰：穆穆我a君。
Mou2008.109.1.2： 大聖之a胄。
Mou2008.109.1.3： 惇懿允a元。
Mou2008.109.1.4： 叡其玄a秀。
Mou2008.109.1.5： 惟嶽降a精。
Mou2008.109.1.6： 誕生忠a良。
Mou2008.109.1.7： 奉應郡a貢。
Mou2008.109.1.8： 亮彼我□。
Mou2008.109.1.9： 克明王a道。
Mou2008.109.1.10： 辯物居a方。
Mou2008.109.1.11： 周□□□。
Mou2008.109.1.12： □也a名。
Mou2008.109.1.13： 朝無秕a政。
Mou2008.109.1.14： 直哉惟a清。
Mou2008.109.1.15： 出統華a夏。
Mou2008.109.1.16： 化以典a成。
Mou2008.109.1.17： □猾殄a迸。
Mou2008.109.1.18： 賢倚□a庭。
Mou2008.109.1.19： 帝重乃a勛。
Mou2008.109.1.20： 自□□a征。
Mou2008.109.1.21： 所臨如a神。
Mou2008.109.1.22： □□□□。
Mou2008.109.1.23： □□之a翰。
Mou2008.109.1.24： 先民是a程。
Mou2008.109.1.25： 宜乎三a事。
Mou2008.109.1.26： 金鉉利a貞。
Mou2008.109.1.27： 而絜《白a駒》。
Mou2008.109.1.28： 俾世憤a惻。
Mou2008.109.1.29： 當享眉a耉。
Mou2008.109.1.30： 莫匪爾a極。
Mou2008.109.1.31： 大□□□。
Mou2008.109.1.32： 邈矣不a意。
Mou2008.109.1.33： 于嗟a悲兮。
Mou2008.109.1.34： □□□a息。
Mou2008.109.1.35： 庶a幾。
Mou2008.109.1.36： 復焉所a力。
Mou2008.109.1.37： 咨乎不a朽。
Mou2008.109.1.38： 沒而德a存。
Mou2008.109.1.39： 伊尹之a休。
Mou2008.109.1.40： 格于皇a天。
Mou2008.109.1.41： 惟我君a績。
Mou2008.109.1.42： 表于丹a青。
Mou2008.109.1.43： 永永無a沂。
Mou2008.109.1.44： 與日月a竝。
Mou2008.109.1.45： 于嗟□□。
Mou2008.109.1.46： 于以慰a靈。
Mou2008.110.1.1： 其辭曰：□□□□。
Mou2008.110.1.2： □德□a隆。
Mou2008.110.1.3： 擅名舊a燿。
Mou2008.110.1.4： 如雲如a龍。
Mou2008.110.1.5： □□□□。
Mou2008.110.1.6： □□□□。
Mou2008.110.1.7： □磐石□。
Mou2008.110.1.8： 逢此百a凶。
Mou2008.110.1.9： 仁風既a敷。
Mou2008.110.1.10： □義□□。
Mou2008.110.1.11： 識□□□。
Mou2008.110.1.12： 刊□□a頌。
Mou2008.110.1.13： 此□□a與。
Mou2008.110.1.14： □□□□。
Mou2008.110.1.15： □□□□。
Mou2008.110.1.16： 以表□□。
Mou2008.111.1.1： 乃作頌曰：□□□□。
Mou2008.111.1.2： 降茲惠a君。
Mou2008.111.1.3： 克明俊a德。
Mou2008.111.1.4： 允武允a文。
Mou2008.111.1.5： 躬儉尚a約。
Mou2008.111.1.6： 化流若a神。
Mou2008.111.1.7： 氓如□。
Mou2008.111.1.8： □□平a均。
Mou2008.111.1.9： 精通晧a穹。
Mou2008.111.1.10： 三納苻a銀。
Mou2008.111.1.11： 所歴垂a勲。
Mou2008.111.1.12： 香風有a隣。
Mou2008.111.1.13： 仍致瑞a應。
Mou2008.111.1.14： 豐稔□□。
Mou2008.111.1.15： □□□a樂。
Mou2008.111.1.16： 行人夷a欣。
Mou2008.111.1.17： 慕君靡a已。
Mou2008.111.1.18： 乃詠新詩：□□□□兮。
Mou2008.111.1.19： 川兌之a間。
Mou2008.111.1.20： 高山崔a巍兮。
Mou2008.111.1.21： 水流蕩a蕩。
Mou2008.111.1.22： 地既塉a确兮。
Mou2008.111.1.23： 與寇爲a隣。
Mou2008.111.1.24： □□□□□。
Mou2008.111.1.25： □以析a分。
Mou2008.111.1.26： 或失緒a業兮。
Mou2008.111.1.27： 至于困a貧。
Mou2008.111.1.28： 危危累a卵兮。
Mou2008.111.1.29： 聖朝閔a憐。
Mou2008.111.1.30： 髦艾究□兮。
Mou2008.111.1.31： 幼□□□。
Mou2008.111.1.32： □□救a傾兮。
Mou2008.111.1.33： 󷳾育□a遺。
Mou2008.111.1.34： 劬勞日a稷兮。
Mou2008.111.1.35： 惟惠勤a勤。
Mou2008.111.1.36： 黃邵朱a龔兮。
Mou2008.111.1.37： 蓋不□□。
Mou2008.111.1.38： □□充a贏兮。
Mou2008.111.1.39： 百姓歡a欣。
Mou2008.111.1.40： 僉曰太a平兮。
Mou2008.111.1.41： 文翁復a存。
Mou2008.113.1.1： 其辭曰：於赫慶a都。
Mou2008.113.1.2： 德𢑃a大兮。
Mou2008.113.1.3： 承神精a燿。
Mou2008.113.1.4： 統赤a裔兮。
Mou2008.113.1.5： 爰生聖a堯。
Mou2008.113.1.6： 名盖a世兮。
Mou2008.113.1.7： 上受符a命。
Mou2008.113.1.8： 𨒭帝a制兮。
Mou2008.113.1.9： 廣彼之a恩。
Mou2008.113.1.10： 流荒a外兮。
Mou2008.113.1.11： 歷紀a千。
Mou2008.113.1.12： 垂遺a愛兮。
Mou2008.113.1.13： 陵廟復a崇。
Mou2008.113.1.14： 享大a祭兮。
Mou2008.113.1.15： 上来多a怙。
Mou2008.113.1.16： 降福a沛兮。
Mou2008.113.1.17： 萬國禧a寍。
Mou2008.113.1.18： 孰不a賴兮。
Mou2008.113.1.19： 光宣美a勛。
Mou2008.113.1.20： 永未a𢅷兮。
Mou2008.113.1.21： 垂視罔a極。
Mou2008.113.1.22： 億萬a嵗兮。
Mou2008.114.1.1： 其辭曰：天降雄a彥。
Mou2008.114.1.2： 資才卓a茂。
Mou2008.114.1.3： 仰高鑽a堅。
Mou2008.114.1.4： 允文允a武。
Mou2008.114.1.5： 內幹三a署。
Mou2008.114.1.6： 外□師a旅。
Mou2008.114.1.7： □勒屯a守。
Mou2008.114.1.8： 奮威□a武。
Mou2008.114.1.9： 旌旗絳a天。
Mou2008.114.1.10： 雷震電a舉。
Mou2008.114.1.11： 敷燿赫a然。
Mou2008.114.1.12： 𨹧惟哮a虎。
Mou2008.114.1.13： 當遂股a肱。
Mou2008.114.1.14： □之元a輔。
Mou2008.114.1.15： 天何不a弔。
Mou2008.114.1.16： 降此□a咎。
Mou2008.114.1.17： 𤹯乎我a君。
Mou2008.114.1.18： 仁如不a壽。
Mou2008.114.1.19： 爵不副a德。
Mou2008.114.1.20： 位不稱a功。
Mou2008.114.1.21： 咸褱傷a愴。
Mou2008.114.1.22： 遠近哀a同。
Mou2008.114.1.23： 身沒□□。
Mou2008.114.1.24： 萬世諷a誦。
Mou2008.116.1.1： 讃曰：皇靈a炳。
Mou2008.116.1.2： 郢令a名矣。
Mou2008.116.1.3： 作民父a母。
Mou2008.116.1.4： 化洽a平矣。
Mou2008.116.1.5： 百工維a時。
Mou2008.116.1.6： 品流a刑矣。
Mou2008.116.1.7： 善勸惡a懼。
Mou2008.116.1.8： 物咸a寧矣。
Mou2008.116.1.9： 三考絀a勅。
Mou2008.116.1.10： 陟幽a明矣。
Mou2008.116.1.11： 振處a實。
Mou2008.116.1.12： 畼a聲矣。
Mou2008.116.1.13： 重曰：皇靈禀a氣。
Mou2008.116.1.14： 卓有a純兮。
Mou2008.116.1.15： 惟汶降a神。
Mou2008.116.1.16： 挺斯a君兮。
Mou2008.116.1.17： 未升卿a尹。
Mou2008.116.1.18： 中失a年兮。
Mou2008.116.1.19： 流名後a載。
Mou2008.116.1.20： 久而a榮兮。
Mou2008.116.1.21： 勒銘金a石。
Mou2008.116.1.22： 表績a勳兮。
Mou2008.116.1.23： 冀勉來a嗣。
Mou2008.116.1.24： 示後a昆兮。
Mou2008.118.1.1： 其銘曰：巗巗山a岳。
Mou2008.118.1.2： 礧落彰a䡈。
Mou2008.118.1.3： 棠棠忠a惠。
Mou2008.118.1.4： 令德孔a㜰。
Mou2008.118.1.5： 命□時a生。
Mou2008.118.1.6： 雅𪪺a綽。
Mou2008.118.1.7： 允彣允a武。
Mou2008.118.1.8： 厥姿烈a逴。
Mou2008.118.1.9： 內懷温a潤。
Mou2008.118.1.10： 撮強a虐。
Mou2008.118.1.11： 督司京a師。
Mou2008.118.1.12： 𥡻然清a邈。
Mou2008.118.1.13： 當□緄a職。
Mou2008.118.1.14： 爲國之a榷。
Mou2008.118.1.15： 匪究南a山。
Mou2008.118.1.16： 遐邇忉□。
Mou2008.118.1.17： 凡百君a子。
Mou2008.118.1.18： 欽諡嘉a樂。
Mou2008.118.1.19： 永傳a齡。
Mou2008.118.1.20： 㬇矣旳a旳。
Mou2008.120.1.1： 其辭曰：穆穆楊a公。
Mou2008.120.1.2： 命世而a生。
Mou2008.120.1.3： 乃台吐a燿。
Mou2008.120.1.4： 乃嶽降a精。
Mou2008.120.1.5： 明明天a子。
Mou2008.120.1.6： 實公是a匡。
Mou2008.120.1.7： 冥冥六a合。
Mou2008.120.1.8： 實公是a光。
Mou2008.120.1.9： 謇謇其a直。
Mou2008.120.1.10： 皦皦其a清。
Mou2008.120.1.11： 懿矣盛a德。
Mou2008.120.1.12： 萬世垂a榮。
Mou2008.120.1.13： 勒勳金a石。
Mou2008.120.1.14： 日月同a炯。
Mou2008.121.1.1： 其詞曰：皇矣先a生。
Mou2008.121.1.2： 褢悳惟a明。
Mou2008.121.1.3： 優於《春a秋》。
Mou2008.121.1.4： 玄嚜有a成。
Mou2008.121.1.5： 知賤爲a貴。
Mou2008.121.1.6： 與世無a爭。
Mou2008.121.1.7： 𢕌𢓡衡a門。
Mou2008.121.1.8： 禮義滋a醇。
Mou2008.121.1.9： 窮下不a苟。
Mou2008.121.1.10： 知我者a天。
Mou2008.121.1.11： 身歿聲a鬯。
Mou2008.121.1.12： 千載作a珍。
Mou2008.121.1.13： 緜之日a月。
Mou2008.121.1.14： 與金石a存。
Mou2008.122.1.1： 其辭曰：泰華惟a岳。
Mou2008.122.1.2： 神曜吐a精。
Mou2008.122.1.3： 育茲令a德。
Mou2008.122.1.4： 既喆且a明。
Mou2008.122.1.5： 寔謂耿a君。
Mou2008.122.1.6： 天胙顯a榮。
Mou2008.122.1.7： 司牧莅a政。
Mou2008.122.1.8： 布化惟a成。
Mou2008.122.1.9： 柔嘉惟a則。
Mou2008.122.1.10： 穆如風a清。
Mou2008.122.1.11： 勤卹民a隱。
Mou2008.122.1.12： 拯阨捄a傾。
Mou2008.122.1.13： 匪皇啓a處。
Mou2008.122.1.14： 東撫西a征。
Mou2008.122.1.15： 赤子遭a慈。
Mou2008.122.1.16： 以活以a生。
Mou2008.122.1.17： 山靈挺a寶。
Mou2008.122.1.18： 匈灾乃a平。
Mou2008.122.1.19： 愷悌父a母。
Mou2008.122.1.20： 民賴以a寧。
Mou2008.122.1.21： 毛遠明《漢魏六朝碑刻校注》第二a冊。
Mou2008.124.1.1： 辭曰：弈弈靈a社。
Mou2008.124.1.2： 式爲後a土。
Mou2008.124.1.3： 平我九a州。
Mou2008.124.1.4： 育我百a穀。
Mou2008.124.1.5： 禽獸遯a跡。
Mou2008.124.1.6： 羣黎安a處。
Mou2008.124.1.7： 先民報a功。
Mou2008.124.1.8： 建立兆a域。
Mou2008.124.1.9： 降及於a今。
Mou2008.124.1.10： 纉戎前a緒。
Mou2008.124.1.11： 率由舊a章。
Mou2008.124.1.12： 百廢俱a舉。
Mou2008.124.1.13： 營工既a定。
Mou2008.124.1.14： 薦其時a熟。
Mou2008.124.1.15： 時熟維a何。
Mou2008.124.1.16： 或剝或a亨。
Mou2008.124.1.17： 燔炙芬a芬。
Mou2008.124.1.18： 犧牲粢a盛。
Mou2008.124.1.19： 樂俱入a奏。
Mou2008.124.1.20： 舞以象a功。
Mou2008.124.1.21： 神之格a斯。
Mou2008.124.1.22： 亨我香a馨。
Mou2008.124.1.23： 降其多a福。
Mou2008.124.1.24： 國家和a平。
Mou2008.124.1.25： 灾害不a侵。
Mou2008.124.1.26： 五穀熟a成。
Mou2008.124.1.27： 歲其有a年。
Mou2008.124.1.28： 民以安a寧。
Mou2008.127.1.1： 敘曰：於惟我a君。
Mou2008.127.1.2： 明允廣a淵。
Mou2008.127.1.3： 學兼游a夏。
Mou2008.127.1.4： 德配臧a文。
Mou2008.127.1.5： 歿而不a朽。
Mou2008.127.1.6： 實有立a言。
Mou2008.127.1.7： 其言惟a何。
Mou2008.127.1.8： □□□□。
Mou2008.128.1.1： 於鑠明a德。
Mou2008.128.1.2： 于我尹a君。
Mou2008.128.1.3： 龜銀之a胄。
Mou2008.128.1.4： 弈世載a勛。
Mou2008.128.1.5： 綱紀本a朝。
Mou2008.128.1.6： 優劣殊a分。
Mou2008.128.1.7： 守攝百a里。
Mou2008.128.1.8： 遺愛在a民。
Mou2008.128.1.9： 佐翼牧a伯。
Mou2008.128.1.10： 諸夏肅a震。
Mou2008.128.1.11： 當漸鴻a羽。
Mou2008.128.1.12： 爲漢輔a臣。
Mou2008.128.1.13： 位不福a德。
Mou2008.128.1.14： 壽不隨a仁。
Mou2008.128.1.15： 景命不a永。
Mou2008.128.1.16： 早即幽a昏。
Mou2008.128.1.17： 名光来a世。
Mou2008.128.1.18： 萬祀不a泯。
Mou2008.131.1.1： 其辭曰：猗余烈a考。
Mou2008.131.1.2： 秉夷塞a淵。
Mou2008.131.1.3： 遭家不a造。
Mou2008.131.1.4： 艱難之a運。
Mou2008.131.1.5： 自東徂a西。
Mou2008.131.1.6： 再離隘a勤。
Mou2008.131.1.7： 窮逼不a憫。
Mou2008.131.1.8： 淑慎其a身。
Mou2008.131.1.9： 斿居放a言。
Mou2008.131.1.10： 在約思a純。
Mou2008.131.1.11： 研機墳a素。
Mou2008.131.1.12： 在國必a聞。
Mou2008.131.1.13： 辭榮抗a介。
Mou2008.131.1.14： 追迹前a勳。
Mou2008.131.1.15： 立德流a范。
Mou2008.131.1.16： 作式後a昆。
Mou2008.135.1.1： 乃作敘曰：翼翼聖a慈。
Mou2008.135.1.2： 恵我黎a蒸。
Mou2008.135.1.3： 貽我潘a君。
Mou2008.135.1.4： 平茲溧a陽。
Mou2008.135.1.5： 彬彣赳a武。
Mou2008.135.1.6： 扶弱抑a彊。
Mou2008.135.1.7： □刈骾a雄。
Mou2008.135.1.8： 流惡顯a忠。
Mou2008.135.1.9： 咨疑元a老。
Mou2008.135.1.10： 師臤作a朋。
Mou2008.135.1.11： 脩學童a冠。
Mou2008.135.1.12： 琢質繡a章。
Mou2008.135.1.13： 寔天生a德。
Mou2008.135.1.14： 有漢將a興。
Mou2008.135.1.15： 尚旦在a昔。
Mou2008.135.1.16： 我君存a今。
Mou2008.135.1.17： 即此龜a艾。
Mou2008.135.1.18： 遂尹三a梁。
Mou2008.135.1.19： 永世支a百。
Mou2008.135.1.20： 民人所a彰。
Mou2008.135.1.21： 子子孫a孫。
Mou2008.135.1.22： 卑尒熾a昌。
Mou2008.136.1.1： 於戯使a君。
Mou2008.136.1.2： 既膺渘a德。
Mou2008.136.1.3： 貢躡帝a宇。
Mou2008.136.1.4： 入叅文a昌。
Mou2008.136.1.5： 出化西a土。
Mou2008.136.1.6： 仁義充a衍。
Mou2008.136.1.7： 澤洽□□。
Mou2008.136.1.8： （下闕）a德。
Mou2008.136.1.9： 世記其a軌。
Mou2008.136.1.10： 辭疾輕a居。
Mou2008.136.1.11： 棄榮潛a處。
Mou2008.136.1.12： 不卒苻a宿。
Mou2008.136.1.13： 究是台a輔。
Mou2008.136.1.14： 三方失□。
Mou2008.136.1.15： 不□黯（下闕）徂a落。
Mou2008.136.1.16： 不留舜a禹。
Mou2008.136.1.17： 二書之a應。
Mou2008.136.1.18： 臻于己a丑。
Mou2008.136.1.19： 辰五盈a虧。
Mou2008.136.1.20： 猶有代a序。
Mou2008.136.1.21： □茲后a土。
Mou2008.136.1.22： 光a燿（下闕）。
Mou2008.137.1.1： 其辭曰：聲芳a烈。
Mou2008.137.1.2： 作王a臣。
Mou2008.137.1.3： 運天a樞。
Mou2008.137.1.4： 釐三a辰。
Mou2008.137.1.5： 擿烖a吝。
Mou2008.137.1.6： □□a壯。
Mou2008.137.1.7： 道欽a明。
Mou2008.137.1.8： 將天a飛。
Mou2008.137.1.9： 翼紫a宮。
Mou2008.137.1.10： 壽不a永。
Mou2008.137.1.11： 喪菁a光。
Mou2008.137.1.12： 形□a襟。
Mou2008.137.1.13： 書洪a勳。
Mou2008.137.1.14： 昭萬a軨。
Mou2008.138.1.1： 其辭曰：巖巖白a石。
Mou2008.138.1.2： 峻極太a清。
Mou2008.138.1.3： 晧晧素a質。
Mou2008.138.1.4： 因體爲a名。
Mou2008.138.1.5： 惟山降a神。
Mou2008.138.1.6： 髦士挺a生。
Mou2008.138.1.7： 濟濟俊a乂。
Mou2008.138.1.8： 朝野充a盈。
Mou2008.138.1.9： 灾害不a起。
Mou2008.138.1.10： 五穀熟a成。
Mou2008.138.1.11： 乃依無a極。
Mou2008.138.1.12： 聖朝見a聽。
Mou2008.138.1.13： 遂興靈a宮。
Mou2008.138.1.14： 于山之a陽。
Mou2008.138.1.15： 營宇之a制。
Mou2008.138.1.16： 是度是a量。
Mou2008.138.1.17： 卜云其a吉。
Mou2008.138.1.18： 終然允a臧。
Mou2008.138.1.19： 匪奢匪a儉。
Mou2008.138.1.20： 率由舊a章。
Mou2008.138.1.21： 華殿清a閑。
Mou2008.138.1.22： 肅雍顯a相。
Mou2008.138.1.23： 玄圖靈a像。
Mou2008.138.1.24： 穆穆皇a皇。
Mou2008.138.1.25： 四時禋a祀。
Mou2008.138.1.26： 不愆不a忘。
Mou2008.138.1.27： 擇其令a辰。
Mou2008.138.1.28： 進其馨a香。
Mou2008.138.1.29： 犧牲玉a帛。
Mou2008.138.1.30： 黍稷稻a粮。
Mou2008.138.1.31： 神降嘉a祉。
Mou2008.138.1.32： 萬壽無a畺。
Mou2008.138.1.33： 子子孫a孫。
Mou2008.138.1.34： 永永番a昌。
Mou2008.139.1.1： 其辭曰：懿明a后。
Mou2008.139.1.2： 德義a章。
