結	38
溢	0
疾	1
游	34
丘	1
流	44
期	79
滋	21
施	18
此	23
有	325
離	32
覆	3
洽	1
修	1
昆	0
延	4
人	650
膺	究	0
膺	既	0
膺	志	0
膺	意	0
膺	祐	0
三	宜	1.0
三	仕	0
三	首	0
三	市	0
三	廷	0.017543859649122806
三	旬	0
三	質	0
三	絕	0
三	鼻	0
三	寤	0
三	黨	0
三	怛	0
三	蓋	0
三	期	0
三	位	0
三	養	0.017543859649122806
三	哉	0
三	郎	0
三	元	0
三	信	0
三	民	0.017543859649122806
三	盛	0
三	楨	0
三	子	0.2
三	棠	0
三	亡	0
三	吏	0
三	思	0
三	備	0
三	就	0
三	究	0
三	既	0
三	志	0
三	意	0
三	祐	0
宜	仕	0
宜	首	0
宜	市	0
宜	廷	0.017543859649122806
宜	旬	0
宜	質	0
宜	絕	0
宜	鼻	0
宜	寤	0
宜	黨	0
宜	怛	0
宜	蓋	0
宜	期	0
宜	位	0
宜	養	0.017543859649122806
宜	哉	0
宜	郎	0
宜	元	0
宜	信	0
宜	民	0.017543859649122806
宜	盛	0
宜	楨	0
宜	子	0
宜	棠	0
宜	亡	0
宜	吏	0
宜	思	0
宜	備	0
宜	就	0
宜	究	0
宜	既	0
宜	志	0
宜	意	0.2
宜	祐	0
仕	首	0
仕	市	0
仕	廷	0.017543859649122806
仕	旬	0
仕	質	0
仕	絕	0
仕	鼻	0
仕	寤	0
仕	黨	0
仕	怛	0
仕	蓋	0
仕	期	0
仕	位	0
仕	養	0.017543859649122806
仕	哉	0
仕	郎	0
仕	元	0
仕	信	0
仕	民	0.017543859649122806
仕	盛	0
仕	楨	0
仕	子	0
仕	棠	0
仕	亡	0
仕	吏	0
仕	思	0
仕	備	0
仕	就	0
仕	究	0
仕	既	0
仕	志	0
仕	意	0
仕	祐	0
首	市	0
首	廷	0.017543859649122806
首	旬	0
首	質	0
首	絕	0
首	鼻	0
首	寤	0
首	黨	0
首	怛	0
首	蓋	0
首	期	0
首	位	0
首	養	0.017543859649122806
首	哉	0
首	郎	0
首	元	0
首	信	0
首	民	0.017543859649122806
首	盛	0
首	楨	0
首	子	0
首	棠	0
首	亡	0
首	吏	0
首	思	0
首	備	0
首	就	0
首	究	0
首	既	0
首	志	0
首	意	0
首	祐	0
市	廷	0.017543859649122806
市	旬	0
市	質	0
市	絕	0
市	鼻	0
市	寤	0
市	黨	0
市	怛	0
市	蓋	0
市	期	0
市	位	0
市	養	0.017543859649122806
市	哉	0
市	郎	0
市	元	0
市	信	0
市	民	0.017543859649122806
市	盛	0
市	楨	0
市	子	1.0
市	棠	0
市	亡	0
市	吏	0
市	思	0
市	備	0
市	就	0
市	究	0
市	既	0
市	志	0
市	意	0
市	祐	0
廷	旬	0.017543859649122806
廷	質	0.017543859649122806
廷	絕	0.017543859649122806
廷	鼻	0.017543859649122806
廷	寤	0.017543859649122806
廷	黨	0.017543859649122806
廷	怛	0.017543859649122806
廷	蓋	0.017543859649122806
廷	期	0.017543859649122806
廷	位	0.017543859649122806
廷	養	0.017543859649122806
廷	哉	0.017543859649122806
廷	郎	0.017543859649122806
廷	元	0.017543859649122806
廷	信	0.017543859649122806
廷	民	0.017543859649122806
廷	盛	0.017543859649122806
廷	楨	0.017543859649122806
廷	子	0.017543859649122806
廷	棠	0.017543859649122806
廷	亡	0.017543859649122806
廷	吏	0.017543859649122806
廷	思	0.017543859649122806
廷	備	0.017543859649122806
廷	就	0.017543859649122806
廷	究	0.017543859649122806
廷	既	0.017543859649122806
廷	志	0.017543859649122806
廷	意	0.017543859649122806
廷	祐	0.017543859649122806
旬	質	0
旬	絕	0
旬	鼻	0
旬	寤	0
旬	黨	0
旬	怛	0
旬	蓋	0
旬	期	0
旬	位	0
旬	養	0.017543859649122806
旬	哉	0
旬	郎	0
旬	元	0
旬	信	0
旬	民	0.017543859649122806
旬	盛	0
旬	楨	0
旬	子	0
旬	棠	0
旬	亡	0
旬	吏	0
旬	思	0
旬	備	0
旬	就	0
旬	究	0
旬	既	0
旬	志	0
旬	意	0
旬	祐	0
質	絕	0
質	鼻	0
質	寤	0
質	黨	0
質	怛	0
質	蓋	0
質	期	0
質	位	0
質	養	0.017543859649122806
質	哉	0
質	郎	0
質	元	0
質	信	0
質	民	0.017543859649122806
質	盛	0
質	楨	0
質	子	0
質	棠	0
質	亡	0
質	吏	0
質	思	0
質	備	0
質	就	0
質	究	0
質	既	0
質	志	0
質	意	0
質	祐	0
絕	鼻	0
絕	寤	0
絕	黨	0
絕	怛	0
絕	蓋	0
絕	期	0.09090909090909091
絕	位	0
絕	養	0.017543859649122806
絕	哉	0
絕	郎	0
絕	元	0
絕	信	0
絕	民	0.017543859649122806
絕	盛	0
絕	楨	0
絕	子	0.04
絕	棠	0
絕	亡	0
絕	吏	0
絕	思	0
絕	備	0
絕	就	0
絕	究	0
絕	既	0
絕	志	0
絕	意	0
絕	祐	0
鼻	寤	0
鼻	黨	0
鼻	怛	0
鼻	蓋	0
鼻	期	0
鼻	位	0
鼻	養	0.017543859649122806
鼻	哉	0
鼻	郎	0
鼻	元	0
鼻	信	0
鼻	民	0.017543859649122806
鼻	盛	0
鼻	楨	0
鼻	子	0
鼻	棠	0
鼻	亡	0
鼻	吏	0
鼻	思	0
鼻	備	0
鼻	就	0
鼻	究	0
鼻	既	0
鼻	志	0
鼻	意	0
鼻	祐	0
寤	黨	0
寤	怛	0
寤	蓋	0
寤	期	0
寤	位	0
寤	養	0.017543859649122806
寤	哉	0
寤	郎	0
寤	元	0
寤	信	0
寤	民	0.017543859649122806
寤	盛	0
寤	楨	0
寤	子	0
寤	棠	0
寤	亡	0
寤	吏	0
寤	思	0
寤	備	0
寤	就	0
寤	究	0
寤	既	0
寤	志	0
寤	意	0
寤	祐	0
黨	怛	0
黨	蓋	0
黨	期	0
黨	位	0
黨	養	0.017543859649122806
黨	哉	0
黨	郎	0
黨	元	0
黨	信	0
黨	民	0.017543859649122806
黨	盛	0
黨	楨	0
黨	子	0
黨	棠	0
黨	亡	0
黨	吏	0
黨	思	0
黨	備	0
黨	就	0
黨	究	0
黨	既	0
黨	志	0
黨	意	0
黨	祐	0
怛	蓋	0
怛	期	0
怛	位	0
怛	養	0.017543859649122806
怛	哉	0
怛	郎	0
怛	元	0
怛	信	0
怛	民	0.017543859649122806
怛	盛	0
怛	楨	0
怛	子	0
怛	棠	0
怛	亡	0
怛	吏	0
怛	思	0
怛	備	0
怛	就	0
怛	究	0
怛	既	0
怛	志	0
怛	意	0
怛	祐	0
蓋	期	0
蓋	位	0.07692307692307693
蓋	養	0.017543859649122806
蓋	哉	0
蓋	郎	0
蓋	元	0
蓋	信	0
蓋	民	0.017543859649122806
蓋	盛	0
蓋	楨	0
蓋	子	0
蓋	棠	0
蓋	亡	0
蓋	吏	0
蓋	思	0
蓋	備	0
蓋	就	0
蓋	究	0
蓋	既	0
蓋	志	0
蓋	意	0
蓋	祐	0
期	位	0
期	養	0.017543859649122806
期	哉	0
期	郎	0
期	元	0
期	信	0
期	民	0.017543859649122806
期	盛	0
期	楨	0
期	子	0
期	棠	0
期	亡	0
期	吏	0
期	思	0.3333333333333333
期	備	0
期	就	0
期	究	0
期	既	0
期	志	0
期	意	0
期	祐	0
位	養	0.017543859649122806
位	哉	0
位	郎	0
位	元	0
位	信	0
位	民	0.017543859649122806
位	盛	0
位	楨	0
位	子	0
位	棠	0
位	亡	0
位	吏	0
位	思	0
位	備	0
位	就	0
位	究	0
位	既	0
位	志	0
位	意	0
位	祐	0
養	哉	0.017543859649122806
養	郎	0.017543859649122806
養	元	0.017543859649122806
養	信	0.017543859649122806
養	民	0.017543859649122806
養	盛	0.017543859649122806
養	楨	0.017543859649122806
養	子	0.017543859649122806
養	棠	0.017543859649122806
養	亡	0.017543859649122806
養	吏	0.017543859649122806
養	思	0.017543859649122806
養	備	0.017543859649122806
養	就	0.017543859649122806
養	究	0.017543859649122806
養	既	0.017543859649122806
養	志	0.017543859649122806
養	意	0.017543859649122806
養	祐	0.017543859649122806
哉	郎	0
哉	元	0
哉	信	0
哉	民	0.017543859649122806
哉	盛	0
哉	楨	0
哉	子	0
哉	棠	0
哉	亡	0
哉	吏	0
哉	思	0
哉	備	0
哉	就	0
哉	究	0
哉	既	0
哉	志	0
哉	意	0
哉	祐	0
郎	元	0
郎	信	0
郎	民	0.017543859649122806
郎	盛	0
郎	楨	0
郎	子	0
郎	棠	0
郎	亡	0
郎	吏	0
郎	思	0
郎	備	0
郎	就	0
郎	究	0
郎	既	0
郎	志	0
郎	意	0
郎	祐	0
元	信	0
元	民	0.017543859649122806
元	盛	0
元	楨	0
元	子	0
元	棠	0
元	亡	0
元	吏	0
元	思	0
元	備	0
元	就	0
元	究	0
元	既	0
元	志	0
元	意	0
元	祐	0
信	民	0.017543859649122806
信	盛	0
信	楨	0
信	子	0
信	棠	0
信	亡	0
信	吏	0
信	思	0
信	備	0
信	就	0
信	究	0
信	既	0
信	志	0
信	意	0
信	祐	0
民	盛	0.017543859649122806
民	楨	0.017543859649122806
民	子	0.017543859649122806
民	棠	0.017543859649122806
民	亡	0.017543859649122806
民	吏	0.017543859649122806
民	思	0.017543859649122806
民	備	0.017543859649122806
民	就	0.017543859649122806
民	究	0.017543859649122806
民	既	0.017543859649122806
民	志	0.017543859649122806
民	意	0.017543859649122806
民	祐	0.017543859649122806
盛	楨	0
盛	子	0
盛	棠	0
盛	亡	0
盛	吏	0
盛	思	0
盛	備	0
盛	就	0
盛	究	0
盛	既	0
盛	志	0
盛	意	0
盛	祐	0
楨	子	0
楨	棠	0
楨	亡	0
楨	吏	0
楨	思	0
楨	備	0
楨	就	0
楨	究	0
楨	既	0
楨	志	0
楨	意	0
楨	祐	0
子	棠	0
子	亡	0
子	吏	0
子	思	0
子	備	0
子	就	0
子	究	0
子	既	0
子	志	0
子	意	1.0
子	祐	0
棠	亡	0
棠	吏	0
棠	思	0
棠	備	0
棠	就	0
棠	究	0
棠	既	0
棠	志	0
棠	意	0
棠	祐	0
亡	吏	0
亡	思	0
亡	備	0
亡	就	0
亡	究	0
亡	既	0
亡	志	0
亡	意	0
亡	祐	0
吏	思	0
吏	備	0
吏	就	0
吏	究	0
吏	既	0
吏	志	0
吏	意	0.25
吏	祐	0
思	備	0
思	就	0
思	究	0.25
思	既	0
思	志	0.14285714285714285
思	意	0
思	祐	0
備	就	0
備	究	0
備	既	0
備	志	0
備	意	0.16666666666666666
備	祐	0
就	究	0
就	既	0
就	志	0
就	意	0
就	祐	0
究	既	0
究	志	0
究	意	0
究	祐	0
既	志	0
既	意	0
既	祐	0
志	意	0
志	祐	0
意	祐	0
學	50
妙	0
籍	0
回	8
近	22
舉	22
除	8
國	63
微	6
徒	5
日	605
怒	15
賴	0
外	23
右	286
恭	23
鍾	6
蹤	19
從	115
羊	836
光	1027
廧	0
通	11
肱	0
蒙	6
功	20
凶	165
宮	3
傷	736
愴	0
忘	726
誦	0
學	妙	0
學	籍	0
學	回	0
學	近	0
學	舉	0
學	除	0
學	國	0.03225806451612903
學	微	0
學	徒	0
學	日	0.03225806451612903
學	怒	0
學	賴	0
學	外	0
學	右	0
學	恭	0
學	鍾	0
學	蹤	0
學	從	0
學	羊	0
學	光	0
學	廧	0
學	通	0
學	肱	0
學	蒙	0
學	功	0
學	凶	0
學	宮	0
學	傷	0
學	愴	0
學	忘	0
學	誦	0
妙	籍	0
妙	回	0
妙	近	0
妙	舉	0
妙	除	0
妙	國	0
妙	微	0
妙	徒	0
妙	日	0
妙	怒	0
妙	賴	0
妙	外	0
妙	右	0
妙	恭	0
妙	鍾	0
妙	蹤	0
妙	從	0
妙	羊	0
妙	光	0
妙	廧	0
妙	通	0
妙	肱	0
妙	蒙	0
妙	功	0
妙	凶	0
妙	宮	0
妙	傷	0
妙	愴	0
妙	忘	0
妙	誦	0
籍	回	0
籍	近	0
籍	舉	0
籍	除	0
籍	國	0
籍	微	0
籍	徒	0
籍	日	0
籍	怒	0
籍	賴	0
籍	外	0
籍	右	0
籍	恭	0
籍	鍾	0
籍	蹤	0
籍	從	0
籍	羊	0
籍	光	0
籍	廧	0
籍	通	0
籍	肱	0
籍	蒙	0
籍	功	0
籍	凶	0
籍	宮	0
籍	傷	0
籍	愴	0
籍	忘	0
籍	誦	0
回	近	0
回	舉	0
回	除	0
回	國	0
回	微	0
回	徒	0
回	日	0
回	怒	0
回	賴	0
回	外	0
回	右	0
回	恭	0
回	鍾	0
回	蹤	0
回	從	0
回	羊	0
回	光	0
回	廧	0
回	通	0
回	肱	0
回	蒙	0
回	功	0
回	凶	0
回	宮	0
回	傷	0
回	愴	0
回	忘	0
回	誦	0
近	舉	0
近	除	0
近	國	0
近	微	0
近	徒	0
近	日	0
近	怒	0
近	賴	0
近	外	0
近	右	0
近	恭	0
近	鍾	0
近	蹤	0
近	從	0
近	羊	0
近	光	0
近	廧	0
近	通	0
近	肱	0
近	蒙	0
近	功	0
近	凶	0
近	宮	0
近	傷	0
近	愴	0
近	忘	0
近	誦	0
舉	除	0
舉	國	0
舉	微	0
舉	徒	0
舉	日	0
舉	怒	0
舉	賴	0
舉	外	0
舉	右	0
舉	恭	0
舉	鍾	0
舉	蹤	0.05263157894736842
舉	從	0
舉	羊	0
舉	光	0
舉	廧	0
舉	通	0
舉	肱	0
舉	蒙	0
舉	功	0
舉	凶	0
舉	宮	0
舉	傷	0
舉	愴	0
舉	忘	0
舉	誦	0
除	國	0
除	微	0
除	徒	0
除	日	0
除	怒	0
除	賴	0
除	外	0
除	右	0
除	恭	0
除	鍾	0
除	蹤	0
除	從	0
除	羊	0
除	光	0
除	廧	0
除	通	0
除	肱	0
除	蒙	0
除	功	0
除	凶	0
除	宮	0
除	傷	0
除	愴	0
除	忘	0
除	誦	0
國	微	0
國	徒	0
國	日	0.03225806451612903
國	怒	0
國	賴	0
國	外	0
國	右	0
國	恭	0
國	鍾	0
國	蹤	0
國	從	0
國	羊	0
國	光	0.07692307692307693
國	廧	0
國	通	0
國	肱	0
國	蒙	0
國	功	0
國	凶	0
國	宮	0
國	傷	0
國	愴	0
國	忘	0
國	誦	0
微	徒	0
微	日	0
微	怒	0
微	賴	0
微	外	0
微	右	0
微	恭	0
微	鍾	0
微	蹤	0
微	從	0
微	羊	0
微	光	0
微	廧	0
微	通	0
微	肱	0
微	蒙	0
微	功	0
微	凶	0
微	宮	0
微	傷	0
微	愴	0
微	忘	0
微	誦	0
徒	日	0
徒	怒	0
徒	賴	0
徒	外	0
徒	右	0
徒	恭	0
徒	鍾	0
徒	蹤	0
徒	從	0
徒	羊	0
徒	光	0
徒	廧	0
徒	通	0
徒	肱	0
徒	蒙	0
徒	功	0
徒	凶	0
徒	宮	0
徒	傷	0
徒	愴	0
徒	忘	0
徒	誦	0
日	怒	0
日	賴	0
日	外	0.16666666666666666
日	右	0.3333333333333333
日	恭	0
日	鍾	0
日	蹤	0
日	從	0
日	羊	0.3333333333333333
日	光	0.2
日	廧	0
日	通	0
日	肱	0
日	蒙	0
日	功	0
日	凶	0.3333333333333333
日	宮	0
日	傷	0.125
日	愴	0
日	忘	1.0
日	誦	0
怒	賴	0
怒	外	0
怒	右	0
怒	恭	0
怒	鍾	0
怒	蹤	0
怒	從	0
怒	羊	0
怒	光	0
怒	廧	0
怒	通	0
怒	肱	0
怒	蒙	0
怒	功	0
怒	凶	0
怒	宮	0
怒	傷	0
怒	愴	0
怒	忘	0
怒	誦	0
賴	外	0
賴	右	0
賴	恭	0
賴	鍾	0
賴	蹤	0
賴	從	0
賴	羊	0
賴	光	0
賴	廧	0
賴	通	0
賴	肱	0
賴	蒙	0
賴	功	0
賴	凶	0
賴	宮	0
賴	傷	0
賴	愴	0
賴	忘	0
賴	誦	0
外	右	0
外	恭	0
外	鍾	0
外	蹤	0
外	從	0
外	羊	0
外	光	0
外	廧	0
外	通	0
外	肱	0
外	蒙	0
外	功	0
外	凶	0
外	宮	0
外	傷	0
外	愴	0
外	忘	0
外	誦	0
右	恭	0
右	鍾	0
右	蹤	0
右	從	0
右	羊	0
右	光	1.0
右	廧	0
右	通	0
右	肱	0
右	蒙	0
右	功	0
右	凶	0
右	宮	1.0
右	傷	0
右	愴	0
右	忘	0
右	誦	0
恭	鍾	0
恭	蹤	0
恭	從	0
恭	羊	0
恭	光	0
恭	廧	0
恭	通	0
恭	肱	0
恭	蒙	0
恭	功	0
恭	凶	0
恭	宮	0
恭	傷	0
恭	愴	0
恭	忘	0
恭	誦	0
鍾	蹤	0
鍾	從	0
鍾	羊	0
鍾	光	0
鍾	廧	0
鍾	通	0
鍾	肱	0
鍾	蒙	0
鍾	功	0.16666666666666666
鍾	凶	0
鍾	宮	0
鍾	傷	0.16666666666666666
鍾	愴	0
鍾	忘	0
鍾	誦	0
蹤	從	0
蹤	羊	0
蹤	光	0
蹤	廧	0
蹤	通	0
蹤	肱	0
蹤	蒙	0
蹤	功	0
蹤	凶	0
蹤	宮	0
蹤	傷	0
蹤	愴	0
蹤	忘	0
蹤	誦	0
從	羊	0
從	光	0
從	廧	0
從	通	0
從	肱	0
從	蒙	0
從	功	0
從	凶	0
從	宮	0
從	傷	0
從	愴	0
從	忘	0
從	誦	0
羊	光	0.5
羊	廧	0
羊	通	0
羊	肱	0
羊	蒙	0
羊	功	0
羊	凶	0
羊	宮	0
羊	傷	0.2
羊	愴	0
羊	忘	1.0
羊	誦	0
光	廧	0
光	通	0
光	肱	0
光	蒙	0
光	功	0
光	凶	0
光	宮	0
光	傷	0.09090909090909091
光	愴	0
光	忘	0.3333333333333333
光	誦	0
廧	通	0
廧	肱	0
廧	蒙	0
廧	功	0
廧	凶	0
廧	宮	0
廧	傷	0
廧	愴	0
廧	忘	0
廧	誦	0
通	肱	0
通	蒙	0.16666666666666666
通	功	0.16666666666666666
通	凶	0
通	宮	0
通	傷	0
通	愴	0
通	忘	0
通	誦	0
肱	蒙	0
肱	功	0
肱	凶	0
肱	宮	0
肱	傷	0
肱	愴	0
肱	忘	0
肱	誦	0
蒙	功	0.16666666666666666
蒙	凶	0
蒙	宮	0
蒙	傷	0
蒙	愴	0
蒙	忘	0
蒙	誦	0
功	凶	0
功	宮	0
功	傷	0.16666666666666666
功	愴	0
功	忘	0
功	誦	0
凶	宮	0
凶	傷	0.2
凶	愴	0
凶	忘	0
凶	誦	0
宮	傷	0
宮	愴	0
宮	忘	0
宮	誦	0
傷	愴	0
傷	忘	0.09090909090909091
傷	誦	0
愴	忘	0
愴	誦	0
忘	誦	0
躬	0
通	42
隆	0
充	0
中	109
秦	39
難	28
光	1058
艱	2
年	244
門	40
殘	7
復	875
窴	0
泥	11
距	0
碭	0
騎	20
狩	0
霜	87
登	0
惡	1
難	28
光	1058
荒	60
強	9
霜	87
方	261
通	42
常	170
綱	15
章	1111
明	2168
情	51
榮	102
縱	18
皇	408
通	42
㢕	0
同	142
功	51
誦	31
易	18
歸	180
麗	24
躬	通	0
躬	隆	0
躬	充	0
躬	中	0
躬	秦	0
躬	難	0
躬	光	0
躬	艱	0
躬	年	0
躬	門	0
躬	殘	0
躬	復	0
躬	窴	0
躬	泥	0
躬	距	0
躬	碭	0
躬	騎	0
躬	狩	0
躬	霜	0
躬	登	0
躬	惡	0
躬	難	0.022727272727272728
躬	光	0.022727272727272728
躬	荒	0
躬	強	0
躬	霜	0.022727272727272728
躬	方	0
躬	通	0.022727272727272728
躬	常	0
躬	綱	0
躬	章	0
躬	明	0
躬	情	0
躬	榮	0
躬	縱	0
躬	皇	0
躬	通	0.022727272727272728
躬	㢕	0
躬	同	0
躬	功	0
躬	誦	0
躬	易	0
躬	歸	0
躬	麗	0
通	隆	0
通	充	0
通	中	0
通	秦	0
通	難	0
通	光	0.03225806451612903
通	艱	0
通	年	0
通	門	0
通	殘	0
通	復	0
通	窴	0
通	泥	0
通	距	0
通	碭	0
通	騎	0
通	狩	0
通	霜	0
通	登	0
通	惡	0
通	難	0.022727272727272728
通	光	0.03225806451612903
通	荒	0
通	強	0
通	霜	0.022727272727272728
通	方	0
通	通	0
通	常	0
通	綱	0
通	章	0
通	明	0
通	情	0
通	榮	0
通	縱	0
通	皇	0
通	通	0
通	㢕	0
通	同	0.25
通	功	0.16666666666666666
通	誦	0.03225806451612903
通	易	0
通	歸	0
通	麗	0
隆	充	0
隆	中	0
隆	秦	0
隆	難	0
隆	光	0
隆	艱	0
隆	年	0
隆	門	0
隆	殘	0
隆	復	0
隆	窴	0
隆	泥	0
隆	距	0
隆	碭	0
隆	騎	0
隆	狩	0
隆	霜	0
隆	登	0
隆	惡	0
隆	難	0.022727272727272728
隆	光	0.022727272727272728
隆	荒	0
隆	強	0
隆	霜	0.022727272727272728
隆	方	0
隆	通	0.022727272727272728
隆	常	0
隆	綱	0
隆	章	0
隆	明	0
隆	情	0
隆	榮	0
隆	縱	0
隆	皇	0
隆	通	0.022727272727272728
隆	㢕	0
隆	同	0
隆	功	0
隆	誦	0
隆	易	0
隆	歸	0
隆	麗	0
充	中	0
充	秦	0
充	難	0
充	光	0
充	艱	0
充	年	0
充	門	0
充	殘	0
充	復	0
充	窴	0
充	泥	0
充	距	0
充	碭	0
充	騎	0
充	狩	0
充	霜	0
充	登	0
充	惡	0
充	難	0.022727272727272728
充	光	0.022727272727272728
充	荒	0
充	強	0
充	霜	0.022727272727272728
充	方	0
充	通	0.022727272727272728
充	常	0
充	綱	0
充	章	0
充	明	0
充	情	0
充	榮	0
充	縱	0
充	皇	0
充	通	0.022727272727272728
充	㢕	0
充	同	0
充	功	0
充	誦	0
充	易	0
充	歸	0
充	麗	0
中	秦	0
中	難	0
中	光	0
中	艱	0
中	年	0.3333333333333333
中	門	0
中	殘	0
中	復	0
中	窴	0
中	泥	0
中	距	0
中	碭	0
中	騎	0
中	狩	0
中	霜	0
中	登	0
中	惡	0
中	難	0.022727272727272728
中	光	0.022727272727272728
中	荒	0
中	強	0
中	霜	0.022727272727272728
中	方	0
中	通	0.022727272727272728
中	常	0
中	綱	0
中	章	0.5
中	明	0.1
中	情	0.3333333333333333
中	榮	0
中	縱	0
中	皇	0
中	通	0.022727272727272728
中	㢕	0
中	同	0
中	功	0
中	誦	0
中	易	0
中	歸	0
中	麗	0
秦	難	0
秦	光	0
秦	艱	0
秦	年	0
秦	門	0
秦	殘	0
秦	復	0
秦	窴	0
秦	泥	0
秦	距	0
秦	碭	0
秦	騎	0
秦	狩	0
秦	霜	0
秦	登	0
秦	惡	0
秦	難	0.022727272727272728
秦	光	0.022727272727272728
秦	荒	0
秦	強	0
秦	霜	0.022727272727272728
秦	方	0
秦	通	0.022727272727272728
秦	常	0
秦	綱	0
秦	章	0
秦	明	0
秦	情	0
秦	榮	0
秦	縱	0
秦	皇	0
秦	通	0.022727272727272728
秦	㢕	0
秦	同	0
秦	功	0
秦	誦	0
秦	易	0
秦	歸	0
秦	麗	0
難	光	0
難	艱	0
難	年	0
難	門	0
難	殘	0
難	復	0
難	窴	0
難	泥	0
難	距	0
難	碭	0
難	騎	0
難	狩	0
難	霜	0
難	登	0
難	惡	0
難	難	0
難	光	0.022727272727272728
難	荒	0
難	強	0
難	霜	0.022727272727272728
難	方	0
難	通	0.022727272727272728
難	常	0
難	綱	0
難	章	0
難	明	0
難	情	0
難	榮	0
難	縱	0
難	皇	0
難	通	0.022727272727272728
難	㢕	0
難	同	0
難	功	0
難	誦	0
難	易	0
難	歸	0
難	麗	0
光	艱	0
光	年	0
光	門	0
光	殘	0
光	復	0
光	窴	0
光	泥	0
光	距	0
光	碭	0
光	騎	0
光	狩	0
光	霜	0.1
光	登	0
光	惡	0
光	難	0.022727272727272728
光	光	0
光	荒	0.045454545454545456
光	強	0
光	霜	0.1
光	方	0.1
光	通	0.03225806451612903
光	常	0.09090909090909091
光	綱	0
光	章	0.25
光	明	0.3333333333333333
光	情	0
光	榮	0
光	縱	0
光	皇	0.1
光	通	0.03225806451612903
光	㢕	0
光	同	0.045454545454545456
光	功	0.03225806451612903
光	誦	0.03225806451612903
光	易	0
光	歸	0.1111111111111111
光	麗	0
艱	年	0
艱	門	0
艱	殘	0
艱	復	0
艱	窴	0
艱	泥	0
艱	距	0
艱	碭	0
艱	騎	0
艱	狩	0
艱	霜	0
艱	登	0
艱	惡	0
艱	難	0.022727272727272728
艱	光	0.022727272727272728
艱	荒	0
艱	強	0
艱	霜	0.022727272727272728
艱	方	0
艱	通	0.022727272727272728
艱	常	0
艱	綱	0
艱	章	0
艱	明	0
艱	情	0
艱	榮	0
艱	縱	0
艱	皇	0
艱	通	0.022727272727272728
艱	㢕	0
艱	同	0
艱	功	0
艱	誦	0
艱	易	0
艱	歸	0
艱	麗	0
年	門	0
年	殘	0
年	復	0
年	窴	0
年	泥	0
年	距	0
年	碭	0
年	騎	0
年	狩	0
年	霜	0
年	登	0
年	惡	0
年	難	0.022727272727272728
年	光	0.022727272727272728
年	荒	0
年	強	0
年	霜	0.022727272727272728
年	方	0
年	通	0.022727272727272728
年	常	0.5
年	綱	0
年	章	0
年	明	1.0
年	情	0
年	榮	0
年	縱	0
年	皇	0.2
年	通	0.022727272727272728
年	㢕	0
年	同	0
年	功	0
年	誦	0
年	易	0
年	歸	0
年	麗	0
門	殘	0
門	復	0
門	窴	0
門	泥	0
門	距	0
門	碭	0
門	騎	0
門	狩	0
門	霜	0.125
門	登	0
門	惡	0
門	難	0.022727272727272728
門	光	0.022727272727272728
門	荒	0
門	強	0
門	霜	0.125
門	方	0
門	通	0.022727272727272728
門	常	0
門	綱	0
門	章	0
門	明	0
門	情	0
門	榮	0
門	縱	0.05555555555555555
門	皇	0
門	通	0.022727272727272728
門	㢕	0
門	同	0
門	功	0
門	誦	0
門	易	0
門	歸	0
門	麗	0
殘	復	0
殘	窴	0
殘	泥	0
殘	距	0
殘	碭	0
殘	騎	0
殘	狩	0
殘	霜	0
殘	登	0
殘	惡	0
殘	難	0.022727272727272728
殘	光	0.022727272727272728
殘	荒	0
殘	強	0
殘	霜	0.022727272727272728
殘	方	0
殘	通	0.022727272727272728
殘	常	0
殘	綱	0
殘	章	0
殘	明	0
殘	情	0
殘	榮	0
殘	縱	0
殘	皇	0
殘	通	0.022727272727272728
殘	㢕	0
殘	同	0
殘	功	0
殘	誦	0
殘	易	0
殘	歸	0
殘	麗	0
復	窴	0
復	泥	0
復	距	0
復	碭	0
復	騎	0
復	狩	0
復	霜	0
復	登	0
復	惡	0
復	難	0.022727272727272728
復	光	0.022727272727272728
復	荒	0
復	強	0
復	霜	0.022727272727272728
復	方	0
復	通	0.022727272727272728
復	常	0
復	綱	0
復	章	0.2
復	明	0.125
復	情	0
復	榮	0
復	縱	0
復	皇	0
復	通	0.022727272727272728
復	㢕	0
復	同	0
復	功	0
復	誦	0
復	易	0
復	歸	0
復	麗	0
窴	泥	0
窴	距	0
窴	碭	0
窴	騎	0
窴	狩	0
窴	霜	0
窴	登	0
窴	惡	0
窴	難	0.022727272727272728
窴	光	0.022727272727272728
窴	荒	0
窴	強	0
窴	霜	0.022727272727272728
窴	方	0
窴	通	0.022727272727272728
窴	常	0
窴	綱	0
窴	章	0
窴	明	0
窴	情	0
窴	榮	0
窴	縱	0
窴	皇	0
窴	通	0.022727272727272728
窴	㢕	0
窴	同	0
窴	功	0
窴	誦	0
窴	易	0
窴	歸	0
窴	麗	0
泥	距	0
泥	碭	0
泥	騎	0
泥	狩	0
泥	霜	0
泥	登	0
泥	惡	0
泥	難	0.022727272727272728
泥	光	0.022727272727272728
泥	荒	0
泥	強	0
泥	霜	0.022727272727272728
泥	方	0
泥	通	0.022727272727272728
泥	常	0
泥	綱	0
泥	章	0
泥	明	0
泥	情	0
泥	榮	0
泥	縱	0
泥	皇	0
泥	通	0.022727272727272728
泥	㢕	0
泥	同	0
泥	功	0
泥	誦	0
泥	易	0
泥	歸	0
