Soas-Unique-ID	Stele-Name	Chinese-Date	Western-Year	Page-#	Poem
Mou2008.133	《三公山碑》	東漢光和四年四月二日	181	p27	這段沒有“詞曰”，但看着像韻文 backslash_n □□分氣，建立乾坤。乾爲物父，坤爲物母，運生六子，八卦爲主。 backslash_n 艮土爲山，□造風雨。天有九部，地有八柱。天地通精，神明列序。 backslash_n 州有九山，丘曰成土。北嶽之山，連井陘阻。上爲祈首，含□陰寶。 backslash_n 南號三公，厥體嵩厚，峻極于天，鼎足而□。二郡宗祀，□奉□神。 backslash_n 明公嘉佑，□無形兆。觸石出雲，不崇而雨。除民氛厲，莫不□□。 backslash_n 德配五岳，王公所緒。四時珪璧，月醮酒脯。明公降靈，惟德□輔。 backslash_n 士䆠得志，列爲羣后。或在王庭，輔翼聖主。颺雨時降，和其寒暑。 backslash_n 年豐歲稔，介我稷黍。倉府既盈，以穀士女。髟儁得進，陳其鼎俎。 backslash_n 黃龍白虎，伏在山所。禽獸碩大，億兩爲耦。草木畼茂，巨仞不數。 backslash_n 而民知禁，順時而取。皆受德化，非性能者。 backslash_n 賴明公垂恩罔極，保我國君，羣犂百姓，永受元恩。 backslash_n  backslash_n 碑陰： backslash_n 乃作頌曰：儼儼明公，民所瞻兮。山谷窈窕，石巖巖兮。 backslash_n 高倉□□，候羣神兮。興雲致雨，除民患兮。 backslash_n 長吏肅恭，得懽心兮。四時奉祀，黍稷陳兮。 backslash_n 犧用握尺，□具□兮。百姓家給，國富殷兮。 backslash_n 仁愛下下，民附親兮。遐邇携負，来若雲兮。 backslash_n 或有薪采，投輻檀兮。或有□鬼，阻出□兮。 backslash_n 或有□□，□□耘兮。或有隱遁，辟語言兮。 backslash_n 或有恬惔，養晧然兮。或有呼吸，求長存兮。 backslash_n 跂行喙息，皆□恩兮。□佑樊瑋，出谷遷兮。 backslash_n 封侯食邑，傳子孫兮。刻石紀德，示後昆兮。 backslash_n 永永不幤，億載年兮。
Mou2008.135	《潘乾墓碑》	東漢光和四年十月二十一日	181	p34	乃作敘曰：翼翼聖慈，恵我黎蒸。貽我潘君，平茲溧陽。 backslash_n 彬彣赳武，扶弱抑彊。□刈骾雄，流惡顯忠。 backslash_n 咨疑元老，師臤作朋。脩學童冠，琢質繡章。 backslash_n 寔天生德，有漢將興。尚旦在昔，我君存今。 backslash_n 即此龜艾，遂尹三梁。永世支百，民人所彰。 backslash_n 子子孫孫，卑尒熾昌。
Mou2008.136	《魏元丕碑》	東漢光和四年	181	p39	於戯使君，既膺渘德，貢躡帝宇。入叅文昌，出化西土。仁義充衍，澤洽□□。 backslash_n （下闕）德，世記其軌。辭疾輕居，棄榮潛處。不卒苻宿，究是台輔。 backslash_n 三方失□，不□黯（下闕）徂落，不留舜禹。二書之應，臻于己丑。 backslash_n 辰五盈虧，猶有代序。□茲后土，光燿（下闕）。
Mou2008.137	《王舍人碑》	東漢光和六年四月二十九日	183	p49	其辭曰：聲芳烈，作王臣。運天樞，釐三辰，擿烖吝。 backslash_n □□壯。道欽明。將天飛，翼紫宮，壽不永。 backslash_n 喪菁光，形□襟。書洪勳，昭萬軨。
Mou2008.138	《白石神君碑》	東漢光和六年	183	p51	其辭曰：巖巖白石，峻極太清。晧晧素質，因體爲名。惟山降神，髦士挺生。 backslash_n 濟濟俊乂，朝野充盈。灾害不起，五穀熟成。乃依無極，聖朝見聽。 backslash_n 遂興靈宮，于山之陽。營宇之制，是度是量。卜云其吉，終然允臧。 backslash_n 匪奢匪儉，率由舊章。華殿清閑，肅雍顯相。玄圖靈像，穆穆皇皇。 backslash_n 四時禋祀，不愆不忘。擇其令辰，進其馨香，犧牲玉帛，黍稷稻粮。 backslash_n 神降嘉祉，萬壽無畺。子子孫孫，永永番昌。
Mou2008.139	《曹全碑》	東漢中平二年十月二十一日	185	p56	其辭曰：懿明后，德義章。貢王庭，征鬼方。 backslash_n 威布烈，安殊巟。還師旅，臨槐里。 backslash_n 感孔懷，赴喪紀。嗟逆賊，燔城市。 backslash_n 特受命，理殘圮。芟不臣，寧黔首。 backslash_n 繕官寺，開南門。闕嵯峨，望崋山。 backslash_n 鄉明治，恵沾渥。吏樂政，民給足。 backslash_n 君高升，極鼎足。
Mou2008.140	《張遷碑》	中平三年二月	186		於穆我君，既敦既純。雪白之性，孝友之仁。紀行求本，蘭生有芬，克岐有兆，綏御有勛。利器不覿，魚不出淵。國之良幹，垂愛在民。𢅷沛棠樹，溫溫恭人。乾道不繆，唯淑是親。既多受祉，永享南山。干祿无疆，子子孫孫。
Mou2008.141	《鄭季宣殘碑》	中平三年四月二十八日	186		其辭曰：堂堂恵君，明□□聲。□□□□，□□□□。帝□□□，□君我城。討賊□□，如雷如霆。既克有定，我心則寧。民□賴祉，□□□□。□□跡□，□□□□。□顯弈世，□□厥成。伊産□繼，岱宗之靈。喬嶽隕□，景命不□。□□□□，□□□□。□□□石，休有（以下全闕）
Mou2008.142	《譙敏碑》	中平四年七月十八日	187		其辭曰：於穆使君，盛德炤明。爰惟懿業，帥由舊章。文武彬彧，柔而能剛。屈道從政，令名顯揚。臣多醜直，是用遜讓。且以毓姿，優游氐京。曷億遘罹，景命不長。屋棟廎覆，君其喪亡。如何如何，吁嗟昊蒼。身退名存，永世遺芳。
Mou2008.143	《趙君墓碑》	初平元年十二月二十八日	190		其辭曰：天寔高，唯聖同。戲我君，羨其縱。體弘仁，蹈中庸。□臨歷，有休功。追景行，亦難雙。刊金石，示萬邦。
Mou2008.144	《北海太守爲盧氏婦刻石》	初平四年正月一日	193		爲其辭曰：大造鍾靈，天生□女。乃堅乃貞，履兹險阻。悠悠□□，殄儔絕侶。神祇可鑒，公姑弗許。捐脰□從，穴□爾汝。悲不勝言，慘不忍覩。大節如斯，簡□可數。□憫厥□，恩及冥府。吉地既遷，良辰既卜。彼崇者堈，彼極者浦。良兌咸亨，爰居爰處。爲夗爲央，關關對語。翹翹楚薪，肅肅風雨。經之營之，毋傷厥土。載歌載揚，灳騰齊魯。永保靡他，芳魂千古。
Mou2008.145	《樊敏碑》	建安十年三月	205		其辭曰：於戯与考，經德炳明。勞謙損益，耽古儉清。立朝正色，能無撓廎。威恩御下，持滿億盈。所歷見慕，遺歌景形。書載俊艾，股肱幹楨。有物有則，模楷後生。宜叅鼎鉉，稽建皇靈。王路阪險，鬼方不庭。恒戢節足，親寵賤榮。故□天選，而捐陪臣。晏嬰𨚍殿，留侯距齊，非辭福也，乃辟𥚝兮。 backslash_n 亂曰：渾元垂像，岳瀆氵仁兮。金精火佐，實生賢兮。□欲救民，德彌大兮。遭偶陽九，百六會兮。當□遐年，今遂逝兮。歍呼哀哉，魂神往兮。
Mou2008.147	《高頤雙闕》	建安十四年	209		因作頌曰：穆穆我君，帝顓之胄。匡輔齊桓，□無其偶。苖裔流衍，□彼梁州。惟君立莭，卓爾絶殊。學□從政，□無茹□。宰城子牧，惠澤沾優。剖苻典郡，威徳□□。示民敬讓，閼斷苞組。宜享□輔，□徳將舒。乾流□戻，□見隕徂。凡百悽愴，痛乎何辜。祚爾後嗣，子孫之模。
Mou2008.149	《司馬芳殘碑》	建安二十四年	219		洋洋黃河，洪流東迴。峨峨（下闕）唯立德，政化是毗。其毗唯（下闕）不弔景命，摧傷邦人。追慕（下闕）
Mou2008.150	《東漢望都一號墓佚名墓銘》	建安二十五年前	220		嗟彼浮陽，人道閑明。秉心塞淵，循禮有常。當軒漢室，天下柱梁。何億掩忽，早棄元陽。
Mou2008.159	《里仁誦德政碑》	東漢時期，無具體年月	25－220		惟斯新政，假貸貧人。監護大夫，齊人君卿。方正散金，義直恩周。立石刻辭，我里不亡
Mou2008.161	《唐公房碑》	東漢時期，無具體年月	25－220		其辭曰：□□□□，□□□□。□□□□，□□□□。遂享神藥，超浮雲兮。翺
Mou2008.167	《楊卿耿伯墓記》	東漢時期，無具體年月	25－220		懫性清潔。丁時，才量休赫。牧伯張君，開示坐席。顧視忘宦，位不副德。年過知命，遭疾掩忽。痛哉于嗟，誰 backslash_n 辟世？ backslash_n 
