Mou2008.015.1.1： 惟平山a(un)君。
Mou2008.092.1.24： 兼命斯b(ɑŋ)章。
Mou2008.092.1.25： 尊脩靈o(iə)基。
Mou2008.092.1.26： 肅共壇b(ɑŋ)場。
Mou2008.092.1.27： 明德惟p(eŋ)馨。
Mou2008.092.1.28： 神歆其j(uɑŋ)芳。
Mou2008.092.1.29： 遏禳凶q(ɛt)札。
Mou2008.092.1.30： 揫斂吉f(iɑŋ)祥。
Mou2008.092.1.31： 嵗其有r(en)年。
Mou2008.092.1.32： 民說無f(iɑŋ)疆。
Mou2008.094.1.1： 其頌曰：於鑠我a(ɑ)祖。
Mou2008.094.1.2： 膺是懿b(ək)德。
Mou2008.094.1.3： 永惟孝c(iə)思。
Mou2008.094.1.4： 亦世弘d(iɑp)業。
Mou2008.094.1.5： 昭哉孝c(iə)嗣。
Mou2008.094.1.6： 光流萬e(uək)國。
Mou2008.094.1.7： 秩秩其f(ui)威。
Mou2008.094.1.8： 娥娥厥h(ioŋ)𩔜。
Mou2008.094.1.9： 此宜蹈i(eŋ)鼎。
Mou2008.094.1.10： 善世令j(uɑŋ)王。
Mou2008.094.1.11： 如何夙k(uin)隕。
Mou2008.094.1.12： 丁此咎l(uoŋ)𣧑。
Mou2008.094.1.13： 國無人兮王庭m(oŋ)空。
Mou2008.094.1.14： 𣎶罔宗兮微言n(ɑŋ)喪。
Mou2008.094.1.15： 王機悵兮嘉謀n(ɑŋ)荒。
Mou2008.094.1.16： 旌洪德兮表元m(oŋ)功。
Mou2008.094.1.17： 闡君靈兮示後o(ɛŋ)萌。
Mou2008.094.1.18： 神有識兮營壇n(ɑŋ)場。
Mou2008.096.1.1： 其辭曰：清和穆a(ɑk)鑠。
Mou2008.096.1.2： 寔惟乾b(uən)坤。
Mou2008.096.1.3： 惟嶽降c(eŋ)靈。
Mou2008.096.1.4： 篤生我d(un)君。
Mou2008.096.1.5： 服體叡c(eŋ)聖。
Mou2008.096.1.6： 允鍾厥d(un)醇。
Mou2008.096.1.7： 誕生岐e(ɨə)嶷。
Mou2008.096.1.8： 言協□d(un)墳。
Mou2008.096.1.9： 懿德震f(au)燿。
Mou2008.096.1.10： 孝行通h(ioŋ)神。
Mou2008.096.1.11： 動履規i(iŋ)繩。
Mou2008.096.1.12： 文彰j(in)繽。
Mou2008.096.1.13： 成是正k(uk)服。
Mou2008.096.1.14： 以道德j(in)民。
Mou2008.096.1.15： 有父子然後有君j(in)臣。
Mou2008.096.1.16： 理財正l(iə)辭。
Mou2008.096.1.17： 束帛戔m(an)戔。
Mou2008.096.1.18： □夢刻n(iɑŋ)像。
Mou2008.096.1.19： 隺鳴一j(in)震。
Mou2008.096.1.20： 天臨保o(it)漢。
Mou2008.096.1.21： 寔生□j(in)仁。
Mou2008.096.1.22： 明試賦p(u)授。
Mou2008.096.1.23： 夷夏已j(in)親。
Mou2008.096.1.24： 嘉錫来q(uɑ)撫。
Mou2008.096.1.25： 潜化如h(ioŋ)神。
Mou2008.096.1.26： 其神伊何？靈不傷j(in)人。
Mou2008.096.1.27： 猗歟明r(ɑt)哲。
Mou2008.096.1.28： 秉道之s(o)樞。
Mou2008.096.1.29： 養□之k(uk)福。
Mou2008.096.1.30： 惟德之s(o)偶。
Mou2008.096.1.31： 淵乎其t(ɑŋ)長。
Mou2008.096.1.32： 渙乎成u(oŋ)功。
Mou2008.096.1.33： □暇民v(ɑ)豫。
Mou2008.096.1.34： 新我□u(oŋ)通。
Mou2008.096.1.35： 用行則r(ɑt)達。
Mou2008.096.1.36： 以誘我w(ɔŋ)邦。
Mou2008.096.1.37： 賴茲劉q(uɑ)父。
Mou2008.096.1.38： 用說其u(oŋ)蒙。
Mou2008.096.1.39： 澤零年x(uŋ)豐。
Mou2008.096.1.40： 黔首歌h(ioŋ)頌。
Mou2008.097.1.1： 其辭曰：明明楊a(un)君。
Mou2008.097.1.2： 懿鑠其b(ək)德。
Mou2008.097.1.3： 其德伊何？忠c(ik)力。
Mou2008.097.1.4： 勤止厥d(in)身。
Mou2008.097.1.5： 帥□靡e(ɛk)革。
Mou2008.097.1.6： 謩兹𥮏f(u)猶。
Mou2008.097.1.7： 道以經h(uək)國。
Mou2008.097.1.8： 班化黎i(iɑn)元。
Mou2008.097.1.9： 既清且j(eŋ)寧。
Mou2008.097.1.10： 武稜k(ue)攜。
Mou2008.097.1.11： 文懷徦j(eŋ)冥。
Mou2008.097.1.12： 遠人斯l(uk)服。
Mou2008.097.1.13： 份士充j(eŋ)庭。
Mou2008.097.1.14： 剛柔攸b(ək)得。
Mou2008.097.1.15： 以和以m(ieŋ)平。
Mou2008.097.1.16： 勳速n(ɔk)藐矣。
Mou2008.097.1.17： 莫與爭o(ɑŋ)光。
Mou2008.097.1.18： 甘棠遺p(ə)愛。
Mou2008.097.1.19： 東征企o(ɑŋ)皇。
Mou2008.097.1.20： 念彼恭d(in)人。
Mou2008.097.1.21： 惄焉永o(ɑŋ)傷。
Mou2008.097.1.22： 立言不f(u)㱙。
Mou2008.097.1.23： 先民所o(ɑŋ)臧。
Mou2008.097.1.24： 載名金q(ak)石。
Mou2008.097.1.25： 詒亐无r(iɑŋ)疆。
Mou2008.099.1.1： 其辭曰：亮元a(ək)德。
Mou2008.099.1.2： 於我b(un)君。
Mou2008.099.1.3： 膺清c(u)茂。
Mou2008.099.1.4： 體懿d(uən)純。
Mou2008.099.1.5： 超三e(ɑ)署。
Mou2008.099.1.6： 垂令□。
Mou2008.099.1.7： 甄聲f(ɑu)號。
Mou2008.099.1.8： □憲h(ə)臺。
Mou2008.099.1.9： 矯王i(iɑp)業。
Mou2008.099.1.10： 弼紫j(ui)微。
Mou2008.099.1.11： 彈羣k(iə)司。
Mou2008.099.1.12： 清公□。
Mou2008.099.1.13： 緩薄l(uɑ)賦。
Mou2008.099.1.14： 牧邦m(ii)畿。
Mou2008.099.1.15： 棃烝n(ɛn)殷。
Mou2008.099.1.16： 罔荒m(ii)饑。
Mou2008.099.1.17： 感良o(in)臣。
Mou2008.099.1.18： 哀其p(eŋ)靈。
Mou2008.099.1.19： 朅輕q(iɑ)舉。
Mou2008.099.1.20： □来p(eŋ)征。
Mou2008.099.1.21： 民歎k(iə)思。
Mou2008.099.1.22： 暨輿o(in)人。
Mou2008.099.1.23： 宰府r(ieŋ)命。
Mou2008.099.1.24： 遂□。
Mou2008.099.1.25： 名振s(a)射。
Mou2008.099.1.26： □彌t(an)闡。
Mou2008.099.1.27： 垂令k(iə)紀。
Mou2008.099.1.28： 永不u(ɑn)刊。
Mou2008.099.1.29： 亐胥a(ək)德。
Mou2008.099.1.30： 㳅後d(uən)昆。
Mou2008.100.1.1： 其辭曰：峨峨我a(un)君。
Mou2008.100.1.2： 烈孔b(uən)純。
Mou2008.100.1.3： 高朗神c(uɑ)武。
Mou2008.100.1.4： 歷世忠d(au)孝。
Mou2008.100.1.5： 馮隆鴻e(uɨ)軌。
Mou2008.100.1.6： 不忝前f(in)人。
Mou2008.100.1.7： 寬猛不h(o)主。
Mou2008.100.1.8： 德義是i(eŋ)經。
Mou2008.100.1.9： 韜綜頙□。
Mou2008.100.1.10： 溫故前j(ieŋ)呈。
Mou2008.100.1.11： 㩜英接k(u)秀。
Mou2008.100.1.12： 踵迹晏j(ieŋ)平。
Mou2008.100.1.13： 初據百l(iə)里。
Mou2008.100.1.14： 顯顯令a(un)聞。
Mou2008.100.1.15： 濟康下f(in)民。
Mou2008.100.1.16： 曜武南c(uɑ)會。
Mou2008.100.1.17： 邊民是f(in)鎮。
Mou2008.100.1.18： 惟□□□。
Mou2008.100.1.19： 憂及退f(in)身。
Mou2008.100.1.20： 叅議帝m(it)室。
Mou2008.100.1.21： 剖苻守n(uɑn)藩。
Mou2008.100.1.22： 北靖□□。
Mou2008.100.1.23： 有□有i(eŋ)聲。
Mou2008.100.1.24： 旋守中o(ɔk)嶽。
Mou2008.100.1.25： 幽滯以p(uaŋ)榮。
Mou2008.100.1.26： 邁種舊q(iaŋ)京。
Mou2008.100.1.27： 忄□□□。
Mou2008.100.1.28： 含澤戴f(in)仁。
Mou2008.100.1.29： □□攸i(eŋ)寧。
Mou2008.100.1.30： 剋長剋a(un)君。
Mou2008.100.1.31： 不虞不r(ɑŋ)陽。
Mou2008.100.1.32： 維明維a(un)允。
Mou2008.100.1.33： 燿此聲s(iɑŋ)香。
Mou2008.100.1.34： 能悊能t(ue)惠。
Mou2008.100.1.35： 剋亮天u(oŋ)功。
Mou2008.100.1.36： 入統□□。
Mou2008.100.1.37： 赳赳光r(ɑŋ)光。
Mou2008.100.1.38： 法言稽v(ɑ)古。
Mou2008.100.1.39： 道而後r(ɑŋ)行。
Mou2008.100.1.40： 競競業w(iɑp)業。
Mou2008.100.1.41： 素絲《羔r(ɑŋ)羊》。
Mou2008.100.1.42： 誾誾侃x(ɑn)侃。
Mou2008.100.1.43： 顒顒昂r(ɑŋ)昂。
Mou2008.100.1.44： 蹈規履y(iɑ)榘。
Mou2008.100.1.45： 金玉其s(iɑŋ)相。
Mou2008.100.1.46： 謇謇王f(in)臣。
Mou2008.100.1.47： 羣公憲r(ɑŋ)章。
Mou2008.100.1.48： 樂旨君l(iə)子。
Mou2008.100.1.49： □□无s(iɑŋ)彊。
Mou2008.100.1.50： 銘勒金z(ak)石。
Mou2008.100.1.51： □□□□。
Mou2008.100.1.52： □問□□。
Mou2008.100.1.53： 萬世是aa(uan)傳。
Mou2008.101.1.1： 其辭曰：玄乾鍾a(ək)德。
Mou2008.101.1.2： 于我楊b(un)君。
Mou2008.101.1.3： 其德伊c(ɑi)何。
Mou2008.101.1.4： 如玉如d(uaŋ)瑩。
Mou2008.101.1.5： 烝烝其e(au)孝。
Mou2008.101.1.6： 恂恂其f(in)仁。
Mou2008.101.1.7： 躬尚節h(iɑm)儉。
Mou2008.101.1.8： □□□□。
Mou2008.101.1.9： □□□□。
Mou2008.101.1.10： □□□b(un)文。
Mou2008.101.1.11： 綱紀典i(ɑ)謩。
Mou2008.101.1.12： □□□□。
Mou2008.102.1.1： 昔在仲a(i)尼。
Mou2008.102.1.2： 汁光之b(ieŋ)精。
Mou2008.102.1.3： 大帝所c(eŋ)挺。
Mou2008.102.1.4： 顔母毓c(eŋ)靈。
Mou2008.102.1.5： 承敝遭d(oi)衰。
Mou2008.102.1.6： 黑不代e(ɑŋ)倉。
Mou2008.102.1.7： □㳅應b(ieŋ)聘。
Mou2008.102.1.8： 嘆鳳不f(in)臻。
Mou2008.102.1.9： 自衛反h(ɑ)魯。
Mou2008.102.1.10： 養徒三i(ein)千。
Mou2008.102.1.11： 獲麟趣j(ɑk)作。
Mou2008.102.1.12： 端門見k(iŋ)徵。
Mou2008.102.1.13： 血書著l(iə)紀。
Mou2008.102.1.14： 黃玉𩐿k(iŋ)應。
Mou2008.102.1.15： 主爲漢m(a)制。
Mou2008.102.1.16： 道審可e(ɑŋ)行。
Mou2008.102.1.17： 乃作《春n(u)秋》。
Mou2008.102.1.18： 復演《孝c(eŋ)經》。
Mou2008.102.1.19： 刪定六o(ia)藝。
Mou2008.102.1.20： 象與天p(ɑm)談。
Mou2008.102.1.21： 鉤《河》擿《j(ɑk)雒》。
Mou2008.102.1.22： 𨛀揆未q(an)然。
Mou2008.102.1.23： 魏魏蕩e(ɑŋ)蕩。
Mou2008.102.1.24： 與乾比r(uŋ)崇。
Mou2008.104.1.1： 其辭曰：赫赫休a(ə)哉。
Mou2008.104.1.2： 故神君b(uɑŋ)皇。
Mou2008.104.1.3： 又有鴻c(iŋ)稱。
Mou2008.104.1.4： 升遐見d(iə)紀。
Mou2008.104.1.5： 子孫仚e(ɑ)予。
Mou2008.104.1.6： 慕仰靡a(ə)恃。
Mou2008.104.1.7： 故刊茲f(ak)石。
Mou2008.104.1.8： 𨖫達情d(iə)理。
Mou2008.104.1.9： 願時仿h(ut)佛。
Mou2008.104.1.10： 賜其嘉i(ɨə)祉。
Mou2008.106.1.1： 惟漢建a(eŋ)寧。
Mou2008.106.1.2： 號政三b(en)年。
Mou2008.106.1.3： 三月戊c(ɑ)午。
Mou2008.106.1.4： 甲寅中d(uin)旬。
Mou2008.106.1.5： 痛哉可e(əi)哀。
Mou2008.106.1.6： 許阿f(iɑ)瞿。
Mou2008.106.1.7： 年甫五h(ia)歲。
Mou2008.106.1.8： 去離世i(uaŋ)榮。
Mou2008.106.1.9： 遂就長j(a)夜。
Mou2008.106.1.10： 不見日a(eŋ)星。
Mou2008.106.1.11： 神靈獨c(ɑ)處。
Mou2008.106.1.12： 下歸窈a(eŋ)冥。
Mou2008.106.1.13： 永與家k(iat)絕。
Mou2008.106.1.14： 豈復望l(an)顔。
Mou2008.106.1.15： 謁見先c(ɑ)祖。
Mou2008.106.1.16： 念子營m(ueŋ)營。
Mou2008.106.1.17： 三增仗n(in)人。
Mou2008.106.1.18： 皆往弔n(in)親。
Mou2008.106.1.19： 瞿不o(ə)識之。
Mou2008.106.1.20： 啼泣東b(en)西。
Mou2008.106.1.21： 久乃隨p(uk)逐。
Mou2008.106.1.22： 當時復q(ian)遷。
Mou2008.106.1.23： 父之與r(o)母。
Mou2008.106.1.24： 感□□□。
Mou2008.106.1.25： □王五s(iɑt)月。
Mou2008.106.1.26： 不□晚t(ɑm)甘。
Mou2008.106.1.27： 贏劣瘦□。
Mou2008.106.1.28： 投財連q(ian)篇。
Mou2008.106.1.29： 冀子長o(ə)哉。
Mou2008.106.1.30： □□□□。
Mou2008.106.1.31： □□□u(ie)此。
Mou2008.106.1.32： □□土n(in)塵。
Mou2008.106.1.33： 立起□v(ou)埽。
Mou2008.106.1.34： 以快往n(in)人。
Mou2008.105.1.1： 厥辭曰：惟斯柳a(un)君。
Mou2008.105.1.2： 天𢢾鯁□。
Mou2008.105.1.3： 𥫄祖□b(uəm)風。
Mou2008.105.1.4： 行無遺c(iɑt)闕。
Mou2008.105.1.5： 授政股d(uəŋ)肱。
Mou2008.105.1.6： 諫爭匡e(ɨt)弼。
Mou2008.105.1.7： 威外f(uən)梱。
Mou2008.105.1.8： 属城震h(it)栗。
Mou2008.105.1.9： 宰守伯i(uan)煩。
Mou2008.105.1.10： 垂名所j(ip)立。
Mou2008.105.1.11： 表貢王k(eŋ)庭。
Mou2008.105.1.12： 望極爵l(uə)位。
Mou2008.105.1.13： 何辜穹m(ɑŋ)倉。
Mou2008.105.1.14： 官寵不n(ui)遂。
Mou2008.105.1.15： 予惟三o(uk)六。
Mou2008.105.1.16： 庶昔延n(ui)季。
Mou2008.105.1.17： 建豎斯p(ie)碑。
Mou2008.105.1.18： 傳于萬q(a)世。
Mou2008.105.1.19： 子孫繁m(ɑŋ)昌。
Mou2008.105.1.20： 永不r(iat)滅。
Mou2008.105.1.21： 嗚呼𢜺s(ə)哉。
Mou2008.105.1.22： 嗚呼哀s(ə)哉！。
Mou2008.105.1.23： 曰：山陵玄h(it)室。
Mou2008.105.1.24： □斯t(ɔŋ)邦兮。
Mou2008.105.1.25： 先人h(it)質。
Mou2008.105.1.26： 尚約u(ieŋ)清兮。
Mou2008.105.1.27： 汶飭不v(eu)雕。
Mou2008.105.1.28： 隩m(ɑŋ)臧兮。
Mou2008.105.1.29： 季子信w(u)舊。
Mou2008.105.1.30： 帶掛x(ioŋ)松兮。
Mou2008.105.1.31： 僑俗追y(ət)歿。
Mou2008.105.1.32： 激□m(ɑŋ)揚兮。
Mou2008.105.1.33： 亡而像z(ən!)存。
Mou2008.105.1.34： 樂aa(ai)嘉兮。
Mou2008.105.1.35： 宗子于j(ip)集。
Mou2008.105.1.36： 其u(ieŋ)鳴兮。
Mou2008.105.1.37： 四祀烝m(ɑŋ)甞。
Mou2008.105.1.38： 不廢bb(iu)㐬兮。
Mou2008.107.1.1： 其辭曰：於穆皇a(ɑ)祖。
Mou2008.107.1.2： 天挺應b(iə)期。
Mou2008.107.1.3： 佐時理c(ut)物。
Mou2008.107.1.4： 紹縱先d(uɨ)軌。
Mou2008.107.1.5： 積德勤e(iau)約。
Mou2008.107.1.6： 燕于孫b(iə)子。
Mou2008.107.1.7： 君之f(un)群。
Mou2008.107.1.8： 並時繁h(ɨə)祉。
Mou2008.107.1.9： 明明君i(ək)德。
Mou2008.107.1.10： 令問不j(ə)已。
Mou2008.107.1.11： 高山景k(ɑŋ)行。
Mou2008.107.1.12： 慕前賢l(iat)𠛱。
Mou2008.107.1.13： 庶同如m(ɑn)蘭。
Mou2008.107.1.14： 意願未j(ə)止。
Mou2008.107.1.15： 中遭冤n(iɑu)夭。
Mou2008.107.1.16： 不終其b(iə)紀。
Mou2008.107.1.17： 夙世霣a(ɑ)祚。
Mou2008.107.1.18： 早喪懿o(ou)寶。
Mou2008.107.1.19： 抱器幽p(iam)潛。
Mou2008.107.1.20： 永歸蒿b(iə)里。
Mou2008.107.1.21： 痛矣a(ɑ)如之。
Mou2008.107.1.22： 行路感q(oŋ)動。
Mou2008.107.1.23： 黨魂有r(eŋ)靈。
Mou2008.107.1.24： 垂後不s(u)㱙。
Mou2008.108.1.1： 乃刊斯a(ak)石。
Mou2008.108.1.2： 曰：赫赫明b(o)后。
Mou2008.108.1.3： 柔嘉惟c(ək)則。
Mou2008.108.1.4： 克長克d(un)君。
Mou2008.108.1.5： 牧守三e(uək)國。
Mou2008.108.1.6： 三國清f(ieŋ)平。
Mou2008.108.1.7： 詠歌懿c(ək)德。
Mou2008.108.1.8： 瑞降豐h(im)稔。
Mou2008.108.1.9： 民以貨i(ik)稙。
Mou2008.108.1.10： 威恩竝j(uŋ)隆。
Mou2008.108.1.11： 遠人賓k(uk)服。
Mou2008.108.1.12： 鐉山浚l(ok)瀆。
Mou2008.108.1.13： 路以安i(ik)直。
Mou2008.108.1.14： 繼禹之m(iak)迹。
Mou2008.108.1.15： 亦世賴k(uk)福。
Mou2008.109.1.1： 其辭曰：穆穆我a(un)君。
Mou2008.109.1.2： 大聖之b(u)胄。
Mou2008.109.1.3： 惇懿允c(iɑn)元。
Mou2008.109.1.4： 叡其玄b(u)秀。
Mou2008.109.1.5： 惟嶽降d(ieŋ)精。
Mou2008.109.1.6： 誕生忠e(iaŋ)良。
Mou2008.109.1.7： 奉應郡f(oŋ)貢。
Mou2008.109.1.8： 亮彼我□。
Mou2008.109.1.9： 克明王h(ou)道。
Mou2008.109.1.10： 辯物居i(uɑŋ)方。
Mou2008.109.1.11： 周□□□。
Mou2008.109.1.12： □也j(en)名。
Mou2008.109.1.13： 朝無秕k(eŋ)政。
Mou2008.109.1.14： 直哉惟d(ieŋ)清。
Mou2008.109.1.15： 出統華l(a)夏。
Mou2008.109.1.16： 化以典k(eŋ)成。
Mou2008.109.1.17： □猾殄m(ɛŋ)迸。
Mou2008.109.1.18： 賢倚□k(eŋ)庭。
Mou2008.109.1.19： 帝重乃a(un)勛。
Mou2008.109.1.20： 自□□k(eŋ)征。
Mou2008.109.1.21： 所臨如n(ioŋ)神。
Mou2008.109.1.22： □□□□。
Mou2008.109.1.23： □□之o(ɑn)翰。
Mou2008.109.1.24： 先民是d(ieŋ)程。
Mou2008.109.1.25： 宜乎三p(ə)事。
Mou2008.109.1.26： 金鉉利k(eŋ)貞。
Mou2008.109.1.27： 而絜《白q(io)駒》。
Mou2008.109.1.28： 俾世憤r(ik)惻。
Mou2008.109.1.29： 當享眉s(o)耉。
Mou2008.109.1.30： 莫匪爾r(ik)極。
Mou2008.109.1.31： 大□□□。
Mou2008.109.1.32： 邈矣不t(iə)意。
Mou2008.109.1.33： 于嗟u(ɨ)悲兮。
Mou2008.109.1.34： □□□r(ik)息。
Mou2008.109.1.35： 庶v(ii)幾。
Mou2008.109.1.36： 復焉所r(ik)力。
Mou2008.109.1.37： 咨乎不b(u)朽。
Mou2008.109.1.38： 沒而德w(ən!)存。
Mou2008.109.1.39： 伊尹之b(u)休。
Mou2008.109.1.40： 格于皇j(en)天。
Mou2008.109.1.41： 惟我君x(ek)績。
Mou2008.109.1.42： 表于丹k(eŋ)青。
Mou2008.109.1.43： 永永無y(ɨən)沂。
Mou2008.109.1.44： 與日月k(eŋ)竝。
Mou2008.109.1.45： 于嗟□□。
Mou2008.109.1.46： 于以慰k(eŋ)靈。
Mou2008.110.1.1： 其辭曰：□□□□。
Mou2008.110.1.2： □德□a(uŋ)隆。
Mou2008.110.1.3： 擅名舊b(au)燿。
Mou2008.110.1.4： 如雲如c(ioŋ)龍。
Mou2008.110.1.5： □□□□。
Mou2008.110.1.6： □□□□。
Mou2008.110.1.7： □磐石□。
Mou2008.110.1.8： 逢此百d(uoŋ)凶。
Mou2008.110.1.9： 仁風既e(uɑ)敷。
Mou2008.110.1.10： □義□□。
Mou2008.110.1.11： 識□□□。
Mou2008.110.1.12： 刊□□c(ioŋ)頌。
Mou2008.110.1.13： 此□□f(ɑ)與。
Mou2008.110.1.14： □□□□。
Mou2008.110.1.15： □□□□。
Mou2008.110.1.16： 以表□□。
Mou2008.111.1.1： 乃作頌曰：□□□□。
Mou2008.111.1.2： 降茲惠a(un)君。
Mou2008.111.1.3： 克明俊b(ək)德。
Mou2008.111.1.4： 允武允a(un)文。
Mou2008.111.1.5： 躬儉尚c(iau)約。
Mou2008.111.1.6： 化流若d(in)神。
Mou2008.111.1.7： 氓如□。
Mou2008.111.1.8： □□平e(uin)均。
Mou2008.111.1.9： 精通晧f(uŋ)穹。
Mou2008.111.1.10： 三納苻d(in)銀。
Mou2008.111.1.11： 所歴垂a(un)勲。
Mou2008.111.1.12： 香風有d(in)隣。
Mou2008.111.1.13： 仍致瑞h(iŋ)應。
Mou2008.111.1.14： 豐稔□□。
Mou2008.111.1.15： □□□i(ɔk)樂。
Mou2008.111.1.16： 行人夷d(in)欣。
Mou2008.111.1.17： 慕君靡j(ə)已。
Mou2008.111.1.18： 乃詠新詩：□□□□兮。
Mou2008.111.1.19： 川兌之k(ɛn)間。
Mou2008.111.1.20： 高山崔l(ui)巍兮。
Mou2008.111.1.21： 水流蕩m(ɑŋ)蕩。
Mou2008.111.1.22： 地既塉i(ɔk)确兮。
Mou2008.111.1.23： 與寇爲d(in)隣。
Mou2008.111.1.24： □□□□□。
Mou2008.111.1.25： □以析a(un)分。
Mou2008.111.1.26： 或失緒n(iɑp)業兮。
Mou2008.111.1.27： 至于困d(in)貧。
Mou2008.111.1.28： 危危累o(on)卵兮。
Mou2008.111.1.29： 聖朝閔p(en)憐。
Mou2008.111.1.30： 髦艾究□兮。
Mou2008.111.1.31： 幼□□□。
Mou2008.111.1.32： □□救q(ieŋ)傾兮。
Mou2008.111.1.33： 󷳾育□l(ui)遺。
Mou2008.111.1.34： 劬勞日r(ɨk)稷兮。
Mou2008.111.1.35： 惟惠勤d(in)勤。
Mou2008.111.1.36： 黃邵朱s(ɨoŋ)龔兮。
Mou2008.111.1.37： 蓋不□□。
Mou2008.111.1.38： □□充t(eŋ)贏兮。
Mou2008.111.1.39： 百姓歡d(in)欣。
Mou2008.111.1.40： 僉曰太q(ieŋ)平兮。
Mou2008.111.1.41： 文翁復u(ən!)存。
Mou2008.113.1.1： 其辭曰：於赫慶a(ɑ)都。
Mou2008.113.1.2： 德𢑃a(ɑ)大兮。
Mou2008.113.1.3： 承神精b(au)燿。
Mou2008.113.1.4： 統赤c(a)裔兮。
Mou2008.113.1.5： 爰生聖d(eu)堯。
Mou2008.113.1.6： 名盖c(a)世兮。
Mou2008.113.1.7： 上受符e(ieŋ)命。
Mou2008.113.1.8： 𨒭帝c(a)制兮。
Mou2008.113.1.9： 廣彼之f(ən)恩。
Mou2008.113.1.10： 流荒h(uɑ)外兮。
Mou2008.113.1.11： 歷紀i(ein)千。
Mou2008.113.1.12： 垂遺j(ə)愛兮。
Mou2008.113.1.13： 陵廟復k(uŋ)崇。
Mou2008.113.1.14： 享大l(ia)祭兮。
Mou2008.113.1.15： 上来多a(ɑ)怙。
Mou2008.113.1.16： 降福a(ɑ)沛兮。
Mou2008.113.1.17： 萬國禧m(eŋ)寍。
Mou2008.113.1.18： 孰不a(ɑ)賴兮。
Mou2008.113.1.19： 光宣美n(un)勛。
Mou2008.113.1.20： 永未l(ia)𢅷兮。
Mou2008.113.1.21： 垂視罔o(ik)極。
Mou2008.113.1.22： 億萬l(ia)嵗兮。
Mou2008.114.1.1： 其辭曰：天降雄a(ɨan)彥。
Mou2008.114.1.2： 資才卓b(u)茂。
Mou2008.114.1.3： 仰高鑽c(en)堅。
Mou2008.114.1.4： 允文允d(uɑ)武。
Mou2008.114.1.5： 內幹三e(ɑ)署。
Mou2008.114.1.6： 外□師f(iɑ)旅。
Mou2008.114.1.7： □勒屯b(u)守。
Mou2008.114.1.8： 奮威□d(uɑ)武。
Mou2008.114.1.9： 旌旗絳h(an)天。
Mou2008.114.1.10： 雷震電f(iɑ)舉。
Mou2008.114.1.11： 敷燿赫h(an)然。
Mou2008.114.1.12： 𨹧惟哮e(ɑ)虎。
Mou2008.114.1.13： 當遂股i(uəŋ)肱。
Mou2008.114.1.14： □之元d(uɑ)輔。
Mou2008.114.1.15： 天何不j(eu)弔。
Mou2008.114.1.16： 降此□b(u)咎。
Mou2008.114.1.17： 𤹯乎我k(un)君。
Mou2008.114.1.18： 仁如不b(u)壽。
Mou2008.114.1.19： 爵不副l(ək)德。
Mou2008.114.1.20： 位不稱m(oŋ)功。
Mou2008.114.1.21： 咸褱傷n(ɑŋ)愴。
Mou2008.114.1.22： 遠近哀m(oŋ)同。
Mou2008.114.1.23： 身沒□□。
Mou2008.114.1.24： 萬世諷o(ioŋ)誦。
Mou2008.116.1.1： 讃曰：皇靈a(iaŋ)炳。
Mou2008.116.1.2： 郢令b(ieŋ)名矣。
Mou2008.116.1.3： 作民父c(o)母。
Mou2008.116.1.4： 化洽b(ieŋ)平矣。
Mou2008.116.1.5： 百工維d(ə)時。
Mou2008.116.1.6： 品流e(eŋ)刑矣。
Mou2008.116.1.7： 善勸惡f(iɑ)懼。
Mou2008.116.1.8： 物咸e(eŋ)寧矣。
Mou2008.116.1.9： 三考絀h(ɨk)勅。
Mou2008.116.1.10： 陟幽a(iaŋ)明矣。
Mou2008.116.1.11： 振處i(it)實。
Mou2008.116.1.12： 畼e(eŋ)聲矣。
Mou2008.116.1.13： 重曰：皇靈禀j(i)氣。
Mou2008.116.1.14： 卓有k(uən)純兮。
Mou2008.116.1.15： 惟汶降l(ioŋ)神。
Mou2008.116.1.16： 挺斯m(un)君兮。
Mou2008.116.1.17： 未升卿m(un)尹。
Mou2008.116.1.18： 中失n(en)年兮。
Mou2008.116.1.19： 流名後d(ə)載。
Mou2008.116.1.20： 久而o(uaŋ)榮兮。
Mou2008.116.1.21： 勒銘金p(ak)石。
Mou2008.116.1.22： 表績m(un)勳兮。
Mou2008.116.1.23： 冀勉來q(iə)嗣。
Mou2008.116.1.24： 示後k(uən)昆兮。
Mou2008.118.1.1： 其銘曰：巗巗山a(ɔk)岳。
Mou2008.118.1.2： 礧落彰a(ɔk)䡈。
Mou2008.118.1.3： 棠棠忠b(ue)惠。
Mou2008.118.1.4： 令德孔c(ɑk)㜰。
Mou2008.118.1.5： 命□時d(ɛŋ)生。
Mou2008.118.1.6： 雅𪪺c(ɑk)綽。
Mou2008.118.1.7： 允彣允e(uɑ)武。
Mou2008.118.1.8： 厥姿烈a(ɔk)逴。
Mou2008.118.1.9： 內懷温f(uin)潤。
Mou2008.118.1.10： 撮強h(iɑk)虐。
Mou2008.118.1.11： 督司京i(i)師。
Mou2008.118.1.12： 𥡻然清a(ɔk)邈。
Mou2008.118.1.13： 當□緄j(ik)職。
Mou2008.118.1.14： 爲國之k(ak)榷。
Mou2008.118.1.15： 匪究南l(an)山。
Mou2008.118.1.16： 遐邇忉□。
Mou2008.118.1.17： 凡百君m(iə)子。
Mou2008.118.1.18： 欽諡嘉a(ɔk)樂。
